symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-11-04 09:45:00,151.935,151.49,151.58,152.309,151.28,6030795.0,0.0029374352,0.0,0.0005281000000000001,73836737,145.79916,140.42636000000002
ABBV,2021-11-04 09:45:00,116.67,117.57,116.53,117.72,116.665,747012.0,-0.007655026999999999,0.0,0.00212639,7624850,109.30417,113.41022
ABT,2021-11-04 09:45:00,128.45,128.94,129.33,129.53,128.2001,4148791.0,-0.00380026,0.0,0.000155144,4063616,122.31917,119.88446
ACN,2021-11-04 09:45:00,356.32,354.05,355.44,358.42,354.74,1474545.0,0.0064115794,-5.6184099999999996e-05,2.8272183e-05,1629662,337.27362,311.60455
ADBE,2021-11-04 09:45:00,660.0,655.18,645.52,660.0,659.39,24262.0,0.007356768499999999,0.0,0.006792045,1922612,616.75195,585.2357
ADI,2021-11-04 09:45:00,177.91,178.8,177.42,179.13,177.73,66806.0,-0.004977625,0.0,0.0012863295,2934250,172.24445,165.64415
ADP,2021-11-04 09:45:00,225.95,225.75,222.33,226.76,225.0666,37674.0,0.0008859222,0.0,0.00899224,1408250,208.4436,203.16013999999998
ADSK,2021-11-04 09:45:00,308.37,314.92,313.71,314.245,302.01,1398198.0,-0.02079899,0.0,-0.0051759304,920357,292.4589,295.91418
AMAT,2021-11-04 09:45:00,143.3189,142.75,143.27,143.85,142.495,404692.0,0.003985243,0.0,0.0045533697,5758775,134.08139,134.32222
AMD,2021-11-04 09:45:00,132.225,130.53,127.75,132.26,132.0,864046.0,0.012985576,0.0,0.011300131000000001,59290875,110.90888999999999,96.301926
AMGN,2021-11-04 09:45:00,218.18,218.13,210.9135,218.3,218.18,9434.0,0.00022916515,0.0,0.00073345436,2568687,210.82417,232.03157000000002
AMZN,2021-11-04 09:45:00,3370.25,3384.0,3309.0,3371.95,3370.0,79012.0,-0.004063239000000001,0.0,-0.0038416076,3679062,3352.461,3384.1558
ARKK,2021-11-04 09:45:00,125.25,124.64,122.28,125.57,124.58,673446.0,0.0048940997,0.0,0.00048136699999999996,5534262,116.468056,117.7485
ARKQ,2021-11-04 09:45:00,89.77,88.62,87.47,89.88,89.51,40323.0,0.012976686000000001,0.0,0.0121868,334850,81.41444399999999,81.63664
ASML,2021-11-04 09:45:00,832.96,830.02,831.64,832.99,829.76,80878.0,0.003542086,0.0,0.00166262,673875,794.8392,738.7981599999999
ATVI,2021-11-04 09:45:00,67.8549,66.75,67.47,68.74,67.45,2117685.0,0.016552756999999998,0.0,0.010480899,12738200,76.94611,86.47393000000001
AVGO,2021-11-04 09:45:00,541.8444,542.37,543.8,544.11,540.93,50510.0,-0.0009690317699999999,0.0,0.00263656,1682325,504.9228,479.98242
AXP,2021-11-04 09:45:00,174.21,173.78,174.58,176.07,173.375,2187733.0,0.0024744386,0.001664619,0.0057832003,3870360,172.42229,165.18819
BA,2021-11-04 09:45:00,214.44,213.38,211.47,214.82,212.8001,500661.0,0.004967652,0.0,0.000562354,8807462,217.38806,228.15778999999998
BABA,2021-11-04 09:45:00,169.2611,166.24,165.36,169.37,168.87,586634.0,0.018173048,0.0,0.016602468000000002,15287862,160.15195,193.02900000000002
BAC,2021-11-04 09:45:00,47.535,48.37,47.8,48.04,47.455,6742106.0,-0.017262748,0.0,-0.00764935,37234212,44.358334,41.61643
BEKE,2021-11-04 09:45:00,19.06,18.95,19.2,19.215,18.94,492589.0,0.0058046808,0.0,0.0063324,8678187,19.418612,33.327
BIDU,2021-11-04 09:45:00,166.01,165.37,167.02,167.6299,165.96,233116.0,0.0038701058000000003,0.0,0.00997768,3436250,162.39084,176.19257
BIIB,2021-11-04 09:45:00,266.68,264.87,264.41,267.98,262.09,857909.0,0.006833532,0.0,-0.00030198402,1412250,284.18695,311.7505
BILI,2021-11-04 09:45:00,80.69,73.3,74.05,80.97,74.02,3365219.0,0.100818545,0.0037178759999999997,0.0101009,2661116,72.71486,92.58317
BKNG,2021-11-04 09:45:00,2539.0,2435.33,2443.32,2539.0,2539.0,7334.0,0.042569145999999995,0.0,0.042569145999999995,225350,2432.8823,2305.3953
BRK-B,2021-11-04 09:45:00,287.1,288.72,287.21,289.13,286.94,235965.0,-0.0056109554,0.0,0.0024590999999999997,3491000,281.50333,281.97287
C,2021-11-04 09:45:00,68.62,69.0,68.3,68.66,68.58,115372.0,-0.0055072065,0.0,-0.0047826353,20548312,70.6675,71.71522
CAT,2021-11-04 09:45:00,204.22,203.55,206.26,204.89,203.84,605829.0,0.0032915655,0.0,0.00034588098,3520875,197.81056,214.91078
