symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-22 09:45:00,144.19,143.43,143.93,144.84,143.94,3446990,0.005298820300000001,0.0,0.0067628897,98855428,149.07457,135.94507
ABBV,2021-09-22 09:45:00,107.165,107.15,106.25,107.27,106.95,162137,0.00013998497,0.0,-0.0032664346999999997,7775328,113.96686000000001,112.83616
ABT,2021-09-22 09:45:00,125.3159,125.13,125.57,125.74,125.105,492992,0.0014856985,0.0,0.0046351943,5479242,125.44228000000001,119.51123
ACN,2021-09-22 09:45:00,333.68,332.29,333.79,335.46,332.49,450324,0.004183045,0.0,0.00966021,2438033,331.5,298.96136
ADBE,2021-09-22 09:45:00,616.17,645.89,624.79,624.85,616.17,654582,-0.046014074,0.0,-0.034448599999999996,2436557,647.2757,555.4938
ADI,2021-09-22 09:45:00,172.4,170.57,172.0,172.88,171.91,138656,0.010728653500000001,0.0,0.0191709,7015000,168.30229,161.87645
ADP,2021-09-22 09:45:00,197.04,198.81,199.25,199.39,196.87,133904,-0.008902994000000001,0.0,-0.0032694226,1982166,208.31343,198.21348999999998
ADSK,2021-09-22 09:45:00,282.96,283.6,285.72,285.8,282.57,136020,-0.0022567513,0.0,0.0084626,1490366,312.8197,292.26153999999997
AMAT,2021-09-22 09:45:00,136.44,135.18,136.19,137.17,136.1,287461,0.009320978,0.0,0.0065098796,8090742,135.60315,132.80159
AMD,2021-09-22 09:45:00,102.715,102.82,102.15,103.15,102.21,1347083,-0.0010212348,0.0,-0.0020423953,39954500,107.749146,89.29094
AMGN,2021-09-22 09:45:00,215.31,215.36,215.71,216.56,215.0,41017,-0.00023218356,0.0,0.0088224085,2981128,224.17743,239.75152999999997
AMZN,2021-09-22 09:45:00,3348.25,3343.63,3375.0,3352.8779999999997,3344.55,85294,0.001381767,0.0,0.0015163367,3158257,3371.2588,3347.9640000000004
ARKK,2021-09-22 09:45:00,117.24,117.14,117.26,117.588,117.12,69057,0.00085366634,0.0,0.00375621,6349742,120.43656999999999,118.92776
ARKQ,2021-09-22 09:45:00,80.014,79.72,79.98,80.3489,79.72,50849,0.0036878915999999998,0.0,0.00263421,287466,82.132286,82.221634
ASML,2021-09-22 09:45:00,852.12,854.73,860.0,853.84,851.83,32623,-0.0030535788,0.0,-0.0035917861,989057,823.5103,697.6358
ATVI,2021-09-22 09:45:00,72.485,73.03,76.61,73.1886,72.2,470147,-0.0074626617000000004,0.0,-0.002601704,9417471,80.97914,90.152824
AVGO,2021-09-22 09:45:00,493.46,490.99,493.49,495.84,493.46,27549,0.005030655,0.0,0.00452148,2164014,490.09286,472.07617
AXP,2021-09-22 09:45:00,166.0,163.27,161.91,166.105,165.295,80637,0.016720744,0.0,0.013352071,4145742,164.06743,159.03276
BA,2021-09-22 09:45:00,210.565,208.51,210.25,211.01,209.65,214008,0.009855681,0.0,0.0064745390000000005,8576928,220.61514,235.18457
BABA,2021-09-22 09:45:00,151.71,150.18,151.58,151.75,151.46,273138,0.010187869,0.0,0.010121217,24809428,173.18,208.51674
BAC,2021-09-22 09:45:00,39.945,39.13,39.27,39.98,39.75,2474148,0.020827973,0.0,0.015077948999999998,55669271,40.762856,40.18261
BEKE,2021-09-22 09:45:00,16.68,15.64,15.79,16.8,15.5,9827716,0.066496156,-0.013189521000000001,0.0,10285800,18.975588000000002,41.53241
BIDU,2021-09-22 09:45:00,158.78,156.71,156.0,158.85,158.15,87525,0.013209061999999999,0.0,0.010209884,4384871,157.45886000000002,191.77065
BIIB,2021-09-22 09:45:00,287.79,295.54,300.97,290.0,287.22,120863,-0.026223185,0.0,-0.020098811,1009157,329.20342999999997,310.73355
BILI,2021-09-22 09:45:00,70.4,69.78,71.02,71.48,70.05,746240,0.008885107,0.0,0.016480401000000002,4267616,78.185425,99.73384
BKNG,2021-09-22 09:45:00,2358.75,2325.62,2363.52,2362.52,2338.85,10020,0.014245613,0.0,0.00833321,255414,2239.3958,2287.1226
BRK-B,2021-09-22 09:45:00,275.07,273.18,276.03,276.29,274.75,339035,0.006918569,0.0,0.00966401,6590614,283.23285,277.05936
C,2021-09-22 09:45:00,68.01,66.94,67.65,68.09,67.79,603343,0.015984459,0.0,0.01568562,24776171,70.944855,72.08521999999999
CAT,2021-09-22 09:45:00,193.41,189.84,192.0,193.45,192.0,206666,0.01880535,0.0,0.011061979,4874271,208.54372,221.54317999999998
CHTR,2021-09-22 09:45:00,754.18,755.9,758.69,760.24,753.53,43293,-0.002275475,0.0,-0.0025135898,1400916,784.9089,703.2622700000001
CL=F,2021-09-22 09:45:00,71.65,70.56,70.59,71.8,70.64,140684,0.016456287,0.0,0.0,256264,68.592,67.235825
CMCSA,2021-09-22 09:45:00,56.48,56.49,56.97,57.3,56.47,1872212,-0.00017706029999999998,0.0,0.008320009,27895033,59.055428000000006,57.048115
CNH=F,2021-09-22 09:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
COST,2021-09-22 09:45:00,453.98,452.11,451.14,455.35,452.765,53499,0.004136218,0.0,0.007564561,1993200,452.8257,397.08588
CRM,2021-09-22 09:45:00,258.35,257.97,259.47,259.24,258.35,127088,0.0014730585000000001,0.0,0.007210084,5473371,256.3037,236.70232000000001
CSCO,2021-09-22 09:45:00,55.44,55.26,55.7621,56.13,55.44,1419536,0.003257335,0.0,0.010857799999999999,24103242,57.442856000000006,53.70319
CSX,2021-09-22 09:45:00,29.71,29.77,30.1,30.33,29.615,9701265,-0.0020154979999999997,0.0,0.0114209,14520283,32.452,32.46232
