symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-10-21 09:45:00,149.245,149.26,148.7,149.48,148.78,2432372.0,-0.00010049169,0.0,-0.00288083,71794737,146.39772,139.08286
ABBV,2021-10-21 09:45:00,107.71,108.41,107.5,108.41,107.66,547503.0,-0.0064570109999999995,0.0,-0.0035052565,5813137,108.58913999999999,113.05306999999999
ABT,2021-10-21 09:45:00,123.42,123.31,123.53,124.62,123.09,306694.0,0.00089206564,0.0,0.010137054,5368812,122.36628999999999,119.53086
ACN,2021-10-21 09:45:00,345.82,345.8,350.0,346.81,345.12,126095.0,5.7893383000000004e-05,0.0,0.0015326744,1820762,334.90942,308.78314
ADBE,2021-10-21 09:45:00,632.93,632.37,639.28,634.075,629.0,103976.0,0.0008855536599999999,0.0,0.00022932701000000002,1953187,619.9534,575.39923
ADI,2021-10-21 09:45:00,176.95,176.92,176.91,177.26,176.14,146457.0,0.00016956129000000002,0.0,-0.0013565763,3154187,169.51915,164.49992
ADP,2021-10-21 09:45:00,213.335,213.05,214.99,213.43,212.59,45439.0,0.0013377314000000001,0.0,0.0033794940000000002,1172762,203.54457,200.95886000000002
ADSK,2021-10-21 09:45:00,300.095,298.64,297.81,300.31,298.11,53816.0,0.0048720418,0.0,0.000535672,867900,286.4683,294.67307
AMAT,2021-10-21 09:45:00,131.58,133.98,133.97,132.29,130.51,721775.0,-0.017913077,0.0,-0.014930563,5418912,133.90886,134.3725
AMD,2021-10-21 09:45:00,117.49,116.39,116.29,117.59,116.2801,1564667.0,0.009450970999999999,0.0,0.0006014236,40421825,106.500854,93.31736
AMGN,2021-10-21 09:45:00,208.41,209.66,207.4,210.2584,208.34,194269.0,-0.0059620338,0.0,0.00386339,2891225,213.49171,234.93857000000003
AMZN,2021-10-21 09:45:00,3415.76,3415.06,3452.66,3421.075,3404.32,128370.0,0.00020496012999999998,0.0,-0.00045681733,2656950,3380.3052,3381.2915
ARKK,2021-10-21 09:45:00,119.81,118.7,120.141,119.85,118.37,257002.0,0.009351311,0.0,-0.0016848943,4253100,116.41572,117.92414
ARKQ,2021-10-21 09:45:00,82.4,82.59,82.82,83.0,82.3796,11408.0,-0.002300458,0.0,-0.0069015585,185850,81.12343,81.66864
ASML,2021-10-21 09:45:00,766.4269,767.7,782.24,767.82,764.05,194670.0,-0.0016583721,0.0,-0.0033737498,1106575,809.2128,726.67535
ATVI,2021-10-21 09:45:00,77.0,78.08,77.52,77.8263,76.7201,309688.0,-0.013831991,0.0,-0.0038422522999999997,5712550,77.37886,87.82743
AVGO,2021-10-21 09:45:00,509.42,509.39,511.0,510.78,508.6,32373.0,5.8891571999999994e-05,0.0,0.0014526987,1735250,496.17315999999994,476.78787
AXP,2021-10-21 09:45:00,178.78,179.6,176.95,179.6994,178.52599999999998,100306.0,-0.0045657423,0.0,-0.0016147469000000001,2962812,168.66,163.32436
BA,2021-10-21 09:45:00,217.65,216.17,215.49,217.7499,215.98,420472.0,0.006846444,0.0,0.00233615,8024050,218.47972000000001,231.13435
BABA,2021-10-21 09:45:00,178.28,177.18,180.95,178.28,177.0,1172392.0,0.006208410500000001,0.0,-0.00045144244000000006,26200525,159.52428999999998,197.53757
