symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-12-10 09:45:00,176.39,174.56,174.91,176.53,175.14,7826569.0,0.010483512,0.0,0.0038382101,116085100,151.6498,139.6428
ABBV,2021-12-10 09:45:00,124.15,121.87,122.21,124.4591,122.1,7682626.0,0.018708449,0.00241639,0.003342738,6132890,113.6066,112.69005
ABT,2021-12-10 09:45:00,132.37,132.42,132.8,133.45,131.12,4503366.0,-0.00037760949999999995,0.0,-0.00083069503,5309990,124.3604,120.83195
ACN,2021-12-10 09:45:00,371.45,374.53,372.8,373.88,370.58,1792202.0,-0.008223604,0.00821103,0.00476508,2716600,352.7644,312.1245
ADBE,2021-12-10 09:45:00,653.1,649.96,647.3,653.95,641.61,2416232.0,0.004830995,-0.0013321,-0.00540805,3392710,633.5204,572.3869599999999
ADI,2021-12-10 09:45:00,184.08,186.26,184.93,187.66,183.66,1850325.0,-0.01170403,0.0,-0.00649625,3793200,177.44,165.7724
ADP,2021-12-10 09:45:00,234.54,232.74,233.26,234.71,233.99,39092.0,0.007733899,0.0,0.0054137404,2051000,221.7362,203.42865
ADSK,2021-12-10 09:45:00,272.3,267.67,275.48,272.37,270.59,33617.0,0.017297322,0.0,0.016512806,3335530,296.1648,292.6782
AMAT,2021-12-10 09:45:00,152.65,157.29,155.84,158.3425,152.38,5419949.0,-0.029499648,0.0022273934,0.007861201,9434690,141.5748,134.5556
AMD,2021-12-10 09:45:00,138.3201,138.1,145.16,141.365,138.3201,4508885.0,0.0015937203,0.0,0.023171597999999998,57671410,130.4464,99.7253
AMGN,2021-12-10 09:45:00,213.53,211.32,212.89,213.91,210.43,2624393.0,0.0104580335,-0.00042146927000000006,0.011830401,3178070,208.0952,230.7731
AMZN,2021-12-10 09:45:00,3523.16,3523.29,3523.01,3543.6,3495.01,2137832.0,-3.6933365e-05,-0.000332066,-0.000198664,3405440,3420.2395,3355.9585
ARKK,2021-12-10 09:45:00,97.73,103.22,102.68,103.54,97.44,13976840.0,-0.053187347999999995,-0.003068698,0.0,11915280,113.4512,117.79515
ARKQ,2021-12-10 09:45:00,77.65,80.36,80.51,80.51,76.53,1035114.0,-0.033723235,0.0034771,0.0,592030,82.9778,82.631424
ASML,2021-12-10 09:45:00,803.92,806.01,803.21,804.9999,796.19,551528.0,-0.0025930532999999998,-0.003806346,-0.0030768607,1126040,795.9684,719.8525400000001
ATVI,2021-12-10 09:45:00,59.27,58.77,58.78,60.01,58.03,9008169.0,0.008507741999999999,-0.00236206,0.000340317,11605040,70.7758,85.18700000000001
AVGO,2021-12-10 09:45:00,583.42,588.56,582.45,590.2397,582.45,2907960.0,-0.008733205,0.06441332,0.06730145,2025260,532.8608,487.7457
AXP,2021-12-10 09:45:00,168.93,166.95,167.98,170.54,167.28,3616904.0,0.011859813,-0.0052091970000000005,0.00802633,5575870,172.9326,162.0464
BA,2021-12-10 09:45:00,207.56,211.03,207.53,208.545,205.2,6905116.0,-0.016443165,0.0012526969999999999,-0.016538,12137050,215.4332,229.40825
BABA,2021-12-10 09:45:00,125.08,125.54,123.21,126.97,121.32,21743253.0,-0.0036641634000000004,-0.0010393739,-0.0181615,32574640,154.4232,194.9993
BAC,2021-12-10 09:45:00,44.49,44.16,43.91,44.73,43.645,35007747.0,0.007472866999999999,-0.00022481762000000003,0.0060687037,55509760,45.8508,41.4997
BEKE,2021-12-10 09:45:00,22.45,22.15,21.69,22.95,21.49,9268697.0,0.01354407,-0.007126942,0.0048997193,12561880,20.7062,36.26355
BIDU,2021-12-10 09:45:00,148.93,149.89,147.17,150.66,146.21,2864314.0,-0.006404740999999999,-0.0002685375,-0.016612218999999998,4667370,160.0842,186.9087
BIIB,2021-12-10 09:45:00,234.72,226.83,227.18,235.22,225.9,1378846.0,0.034783754,0.005368075,-0.00039675699999999997,1562120,265.7078,297.5216
BILI,2021-12-10 09:45:00,59.45,60.52,60.41,61.85,59.37,2511547.0,-0.017680101,0.00067285,-0.0038687896000000003,5317880,72.352,93.0702
BKNG,2021-12-10 09:45:00,2273.32,2267.61,2299.565,2273.32,2273.32,6544.0,0.0025180525,0.0,0.00105834,498610,2396.694,2318.7288
BRK-B,2021-12-10 09:45:00,283.72,284.97,284.97,285.97,282.28,3232927.0,-0.0043864264,0.0,-0.00350914,5647620,283.2402,277.4362
C,2021-12-10 09:45:00,62.14,62.46,61.87,62.5,60.852,28596031.0,-0.005123274000000001,-0.0001609,0.0038622736,25126060,68.65,71.08175
CAT,2021-12-10 09:45:00,204.19,204.49,204.41,206.2,203.61,2132655.0,-0.0014670793,-0.0023507308,0.0,3719900,200.3448,215.5929
CHTR,2021-12-10 09:45:00,614.33,611.97,632.99,620.02,611.17,108562.0,0.0038564740000000004,0.0,0.0,1316710,696.711,699.9366
CL=F,2021-12-10 09:45:00,71.5,70.94,70.68,72.33,70.32,145167.0,0.007893961,0.0,0.0,579018,78.3722,70.17725
CMCSA,2021-12-10 09:45:00,47.81,48.94,48.667,48.815,47.59,35048216.0,-0.023089442,-0.003974115,0.0010457902999999999,24838880,53.2032,55.94825
CNH=F,2021-12-10 09:45:00,6.4145,6.3787,6.3781,6.4259,6.4145,82.0,-0.0002804706,0.0,0.0,613,6.4066019999999995,6.463301
COST,2021-12-10 09:45:00,542.322,524.33,528.8,544.5,534.61,522316.0,0.034314275,0.0,0.0189384,2851160,496.1534,420.8585
CRM,2021-12-10 09:45:00,266.31,266.99,268.31,268.5,264.57,4586125.0,-0.0025468848,-0.00206522,0.00636733,10391940,288.5906,249.6897
CSCO,2021-12-10 09:45:00,57.02,58.08,58.075,58.13,56.63,23631258.0,-0.018250711,0.00035076216,-0.0024105234,25274580,55.75899999999999,53.9383
CSX,2021-12-10 09:45:00,36.747,36.61,36.81,36.84,36.7,239033.0,0.0037421752,0.0,0.0027314521999999997,15149170,34.6342,32.877483000000005
CVX,2021-12-10 09:45:00,118.45,117.92,118.39,119.26,117.66,8827175.0,0.0044945623,-0.00050652196,0.005173,12257700,111.8676,105.3642
DHR,2021-12-10 09:45:00,321.007,319.28,320.42,322.91,317.85,96862.0,0.005409013000000001,0.0,0.00717241,2613820,307.621,278.32047
DIS,2021-12-10 09:45:00,153.34,150.81,150.91,153.655,150.56,12593173.0,0.016776068,0.0003912714,0.00165771,16938160,165.3858,177.38306
DOCU,2021-12-10 09:45:00,154.2,153.74,155.265,163.77,151.2315,10590729.0,0.0029920088,0.0,0.011773107,15149840,253.7796,249.9077
DOW,2021-12-10 09:45:00,54.98,54.39,54.24,55.25,54.93,218805.0,0.010847585,0.0,0.012134581,6288980,57.726000000000006,62.11875
DX-Y.NYB,2021-12-10 09:45:00,96.291,96.32799999999999,96.15100000000001,96.427,96.125,0.0,0.0018063657000000001,0.0,0.0,0,94.6208,92.5177
EURUSD=X,2021-12-10 09:45:00,1.1298158,1.1300713,1.1296881,1.1309658,1.1267606000000001,0.0,-0.00022600066000000004,0.0,0.0,0,1.1444272,1.1738496
FAS,2021-12-10 09:45:00,129.35,131.07,128.76,131.5299,127.34,840972.0,-0.013122766999999999,-0.00262862,0.01971386,2158560,135.2314,115.26385
FAZ,2021-12-10 09:45:00,19.35,19.62,19.8,19.5,19.1602,132740.0,-0.013761491,0.0,-0.0259888,2525510,19.6602,25.8665
FB,2021-12-10 09:45:00,330.56,322.81,325.0,332.75,323.07,19937722.0,0.024007931,-0.0010588277,0.0076825703,21030960,331.1452,329.56203999999997
FISV,2021-12-10 09:45:00,102.28,103.53,103.22,103.61,101.93,378814.0,-0.012073793999999999,0.0,-0.0188351,4768790,103.4164,112.2376
GC=F,2021-12-10 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
GE,2021-12-10 09:45:00,98.28,97.55,97.55,98.94,96.98,4614249.0,0.007483298,-0.0027472186,-0.00174276,7593750,103.4036,104.6925
GILD,2021-12-10 09:45:00,69.71,69.65,69.91,70.48100000000001,68.915,6386939.0,0.0008614150599999999,0.0032994314,0.0034457697,8361030,67.9408,67.75405
GOOG,2021-12-10 09:45:00,2974.41,2960.73,2966.63,2983.13,2944.195,948197.0,0.004620459,-3.3652946e-06,0.00211773,1206530,2867.6897,2577.44
GOOGL,2021-12-10 09:45:00,2963.73,2945.39,2951.93,2967.86,2928.12,1213516.0,0.0062267096,-0.0002530595,0.0019183017,1588400,2857.8247,2546.85
GS,2021-12-10 09:45:00,397.32,400.11,401.23,401.71,395.14,1529121.0,-0.0069730277,-0.0008560314300000001,0.00284925,2778750,398.2604,374.9626
HD,2021-12-10 09:45:00,411.25,416.18,416.18,419.85,408.28,4077215.0,-0.011845818999999999,-0.000899684,-0.0011533,4202720,370.07800000000003,328.72076
HON,2021-12-10 09:45:00,204.65,207.15,204.84,205.33,202.5201,4997401.0,-0.012068551,0.00024433450000000003,-0.0103789,4126000,216.8946,221.48856
IBM,2021-12-10 09:45:00,123.02,121.58,122.0,123.38,121.52,5454786.0,0.01184401,-0.00056901074,0.0030432201,5749230,124.98577,130.94433999999998
