symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-12-08 09:45:00,172.28,171.18,172.125,172.37,170.7,9200815.0,0.00642602,0.0,0.00531606,113958690,150.9864,139.39415
ABBV,2021-12-08 09:45:00,121.86,121.51,121.98,122.44,121.661,200327.0,0.0028804087,0.0,0.00320961,6499910,113.316,112.62415
ABT,2021-12-08 09:45:00,132.42,132.47,134.0,134.08,131.8,4742345.0,-0.000377467,-0.0012083044,-0.0008306948599999999,5309900,124.3604,120.83195
ACN,2021-12-08 09:45:00,371.36,371.34,370.0,371.94,370.62,32929.0,5.382941e-05,0.0,-0.0009155931,2689360,351.75800000000004,311.5482
ADBE,2021-12-08 09:45:00,649.96,622.04,644.1932,655.22,642.045,3943536.0,0.044884644,0.000646167,-0.005408046999999999,3392370,633.5204,572.3869599999999
ADI,2021-12-08 09:45:00,185.18,186.64,185.76,186.03,184.33,138855.0,-0.0078225825,0.0,-0.0034290599,3974060,177.1406,165.6499
ADP,2021-12-08 09:45:00,234.97,235.13,233.27,234.97,233.27,87746.0,-0.0006804902,0.0,-0.014332498999999999,2092110,220.9958,203.14023999999998
ADSK,2021-12-08 09:45:00,276.82,276.7,277.39,277.84,273.475,93778.0,0.00043366502999999995,0.0,0.0035778465999999997,3383400,296.39599999999996,292.7913
AMAT,2021-12-08 09:45:00,157.1,156.89,156.86,157.1,155.15,378379.0,0.0013385603,0.0,-0.000509923,9501360,141.0868,134.3832
AMD,2021-12-08 09:45:00,146.54,144.85,144.96,146.6899,142.7,5105649.0,0.011667153000000001,0.0,0.00124261,59852750,129.572,99.4338
AMGN,2021-12-08 09:45:00,211.91,211.32,212.89,213.89,211.58,264305.0,0.0027919570000000003,0.0,0.011830401,3177970,208.0952,230.7731
