symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-24 09:45:00,145.7494,146.83,146.65,146.1,145.615,2303929,-0.0073595108,0.0,-0.00783225,91351600,149.028,136.09357
ABBV,2021-09-24 09:45:00,106.9,107.36,106.99,107.16,106.84,196374,-0.0042846412,0.0,-0.00447097,7399487,113.46513999999999,112.751144
ABT,2021-09-24 09:45:00,124.77,125.3,125.42,125.0,124.7,39082,-0.0042298995,0.0,-0.004948146,5407275,125.62114,119.58928999999999
ACN,2021-09-24 09:45:00,340.71,343.0,337.62,340.71,340.03,33022,-0.00667641,0.0,-0.000204103,2822350,333.14114,300.11407
ADBE,2021-09-24 09:45:00,628.3,630.84,632.2883,628.54,628.0,59917,-0.004026439000000001,0.0,-0.0045019765,2939950,647.5603,556.53613
ADI,2021-09-24 09:45:00,177.23,173.85,174.5,177.78,174.17,3286597,0.019441986,0.0,0.0049467967,6573687,168.45,161.96258999999998
ADP,2021-09-24 09:45:00,197.04,198.81,199.25,199.39,196.87,133904,-0.008902994000000001,0.0,-0.0032694226,1982166,208.31343,198.21348999999998
ADSK,2021-09-24 09:45:00,286.42,283.19,283.88,288.78,283.6597,1054820,0.011405809,0.0,0.0,1380300,311.24118,292.376
AMAT,2021-09-24 09:45:00,139.29,141.11,139.33,139.44,139.29,102120,-0.01289779,0.0,-0.01289779,7511650,135.44,132.89879
AMD,2021-09-24 09:45:00,105.1392,106.15,104.89,105.28,105.0935,536728,-0.0095224045,0.0,-0.008007523,38601687,107.154854,89.51914000000001
AMGN,2021-09-24 09:45:00,215.29,215.05,212.51,215.29,214.55,39599,0.0011159742,0.0,-0.0026505803999999997,2879850,222.92886000000001,239.38857000000002
AMZN,2021-09-24 09:45:00,3397.88,3416.0,3380.05,3403.01,3397.24,70081,-0.0053044837,0.0,-0.0037690282,3041275,3373.4043,3348.6794
ARKK,2021-09-24 09:45:00,118.03,119.34,119.31,118.1,117.92,111423,-0.0109770205,0.0,-0.014580173,5660737,120.26371999999999,118.92486000000001
ARKQ,2021-09-24 09:45:00,80.014,79.72,79.98,80.3489,79.72,50849,0.0036878915999999998,0.0,0.00263421,287466,82.132286,82.221634
ASML,2021-09-24 09:45:00,867.55,879.78,877.39,868.24,867.55,25788,-0.013901249499999999,0.0,-0.014162656000000001,962637,828.35345,700.1304299999999
ATVI,2021-09-24 09:45:00,74.55,74.67,73.13,74.62,74.5,123678,-0.0016070057000000001,0.0,-0.0038167408,9774187,80.58285500000001,89.91835999999999
AVGO,2021-09-24 09:45:00,501.07,504.3,502.51,502.27,501.07,27529,-0.0064048790000000005,0.0,-0.0017846398999999998,2194087,490.95856,472.51
AXP,2021-09-24 09:45:00,173.42,173.36,169.49,173.46,173.18,6705,0.0003460865,0.0,-0.0016151291000000001,4223562,164.17458,159.1955
BA,2021-09-24 09:45:00,219.26,221.1,217.81,219.67,218.66,183861,-0.008322079,0.0,-0.011035741000000002,8770725,220.11115,234.95392999999999
BABA,2021-09-24 09:45:00,147.535,151.19,152.58,147.69,147.48,715848,-0.02417487,0.0,-0.022951262000000004,25344062,170.46542,207.70279
BAC,2021-09-24 09:45:00,41.7,41.69,40.76,41.78,41.65,1180724,0.0002399169,0.0,-0.0009593931599999999,55460325,40.906,40.193073
BEKE,2021-09-24 09:45:00,16.795,17.6,17.2,17.36,16.575,5068038,-0.045738652000000005,0.0,-0.014204498999999999,11354912,18.806572,41.18144
BIDU,2021-09-24 09:45:00,158.54,160.5,160.95,158.87,158.53,127000,-0.01221188,0.0,-0.010903426,4254837,157.24371000000002,191.3195
BIIB,2021-09-24 09:45:00,289.86,293.2,293.69,289.86,289.81,18954,-0.011391631999999999,0.0,-0.015347885,1075750,326.52972,310.45535
BILI,2021-09-24 09:45:00,73.78,70.56,71.12,74.91,71.12,3334044,0.04563494,0.009758759,0.0,4019600,77.43146999999999,99.38399
BKNG,2021-09-24 09:45:00,2475.51,2406.11,2410.65,2488.93,2410.65,418423,0.028843192,0.0,0.00286766,275612,2247.019,2287.9785
BRK-B,2021-09-24 09:45:00,278.3,278.12,275.15,278.3,278.2,7288,0.00064717635,0.0,0.0004674417,6410300,282.99313,277.04556
C,2021-09-24 09:45:00,70.75,70.88,69.2103,70.89,70.71,351707,-0.0018340471,0.0,-0.0033154713,24963962,70.994,72.04914000000001
CAT,2021-09-24 09:45:00,195.385,196.62,192.91,195.77,195.2928,99472,-0.0062811546999999995,0.0,-0.005950555,4839137,207.828,221.1495
CHTR,2021-09-24 09:45:00,754.18,755.9,758.69,760.24,753.53,43293,-0.002275475,0.0,-0.0025135898,1400916,784.9089,703.2622700000001
CL=F,2021-09-24 09:45:00,73.05,73.3,73.24,73.66,72.81,122174,-0.0034106409000000002,0.0,0.0,310325,68.78686,67.314255
CMCSA,2021-09-24 09:45:00,56.02,56.06,56.87,57.05,55.905,17508111,-0.0007135375599999999,0.0042841462,0.0,25867157,59.008823,57.055144999999996
CNH=F,2021-09-24 09:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
COST,2021-09-24 09:45:00,456.54,452.78,452.3,457.65,455.0,84994,0.008304276,0.0,0.007199985999999999,1963512,453.8257,397.8783
CRM,2021-09-24 09:45:00,279.94,277.86,270.0,280.0,278.47,751740,0.007485846,0.0,0.0026992009999999996,6626312,257.7817,237.15677999999997
CSCO,2021-09-24 09:45:00,56.345,56.69,55.6992,56.4468,56.22,298622,-0.0060856836,0.0,-0.008819898,23671800,57.450573,53.7375
CSX,2021-09-24 09:45:00,29.86,29.71,29.87,30.16,29.81,8814672,0.005048856599999999,0.0,0.0,13905828,32.38265,32.45628
CVX,2021-09-24 09:45:00,99.848,100.06,98.24,99.8594,99.58,242926,-0.0021187088000000002,0.0,-0.0041974634,12958825,98.12143,103.20464
DHR,2021-09-24 09:45:00,324.13,324.7,325.9,326.22,323.18,1680375,-0.0017554892000000001,0.0008329652499999999,0.0,2367628,320.5406,269.19057999999995
DIS,2021-09-24 09:45:00,175.08,176.25,174.94,175.77,175.08,155526,-0.006638287,0.0,-0.0023829682999999997,10171287,179.44799999999998,180.83093
DOCU,2021-09-24 09:45:00,272.01,273.7,275.21,272.175,271.0,31563,-0.0061746524,0.0,-0.0058093780000000005,2579975,288.6177,249.56615
DOW,2021-09-24 09:45:00,57.02,57.43,56.77,57.31,56.89,568287,-0.007139123000000001,0.0,-0.0034825099,6551500,61.36257,63.787144
