symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-11-15 09:45:00,150.42,149.99,148.43,150.488,150.29,1525682.0,0.0028668088,0.0,0.0016000415,57840516,146.51971,141.2846
ABBV,2021-11-15 09:45:00,116.97,116.63,117.4,117.4,116.43,2733644.0,0.0029152362,-0.004018135,0.0,4364357,111.23543000000001,113.72136
ABT,2021-11-15 09:45:00,128.83,128.45,127.94,128.88,128.28,172310.0,0.0029583878,0.0,0.0022608428,5821000,122.58285500000001,120.19093000000001
ACN,2021-11-15 09:45:00,371.325,371.23,368.0,372.05,370.65,229035.0,0.0002559093,0.0,-0.0008889828,1674450,345.30942000000005,317.9761
ADBE,2021-11-15 09:45:00,666.46,666.02,667.69,669.4496,663.0,750112.0,0.0006606445,0.0,0.00234227,2075233,617.36725,589.10657
ADI,2021-11-15 09:45:00,185.06,183.1,183.57,185.67,181.565,1243466.0,0.010704485,0.0,0.0032768479999999997,2825137,174.06721000000002,166.69823
ADP,2021-11-15 09:45:00,230.93,228.55,229.6,231.865,228.68,1207592.0,0.010413430999999999,0.0,0.0,1140250,214.23389,204.81078
ADSK,2021-11-15 09:45:00,331.14,329.32,330.74,332.115,330.5625,22932.0,0.0055265618,0.0,0.009474053,984533,300.83057,297.64258
AMAT,2021-11-15 09:45:00,156.82,153.9,154.67,157.4,154.1055,5778616.0,0.018973447,0.00051005336,0.0042724022999999995,6474166,136.65028,135.30928
AMD,2021-11-15 09:45:00,147.97,147.89,146.025,148.25,147.95,942505.0,0.000540955,0.0,2.682592e-06,84643766,118.943146,99.50007
AMGN,2021-11-15 09:45:00,210.27,209.63,210.69,210.73,209.7,107825.0,0.0030529953000000003,0.0,-0.0030275765000000003,2786466,209.99915,229.77719
AMZN,2021-11-15 09:45:00,3576.23,3488.98,3515.25,3593.6,3501.425,4294922.0,0.02500731,-2.7989715e-06,0.0,3842366,3354.0366,3388.03
ARKK,2021-11-15 09:45:00,118.49,117.34,117.77,118.52,116.71,3737114.0,0.009800592,0.00227871,0.0,5434942,116.86057,117.62478999999999
ARKQ,2021-11-15 09:45:00,87.5,87.14,87.24,87.52,86.55,221833.0,0.00413129,0.0,0.0,370900,82.72171999999999,81.83664
ASML,2021-11-15 09:45:00,851.63,833.39,840.0,855.0,835.28,531257.0,0.0218865,0.00043445523,0.004567729,637083,787.6929,748.9421
ATVI,2021-11-15 09:45:00,67.17,66.82,66.99,67.53,66.53,6447897.0,0.00523793,0.0,0.00120321,17404233,75.995834,85.840866
AVGO,2021-11-15 09:45:00,557.78,558.95,559.19,561.9009,555.14,1069249.0,-0.0020931798,0.0,0.0065300353000000005,1650866,508.9061,482.22927999999996
AXP,2021-11-15 09:45:00,182.605,181.89,180.71,182.87,182.04,64919.0,0.0039309272999999995,0.0,0.0031887505,3055933,175.97858,167.15201000000002
BA,2021-11-15 09:45:00,220.96,219.38,219.72,223.75,218.9,6419877.0,0.007202123299999999,0.0015387234,0.030322216000000003,9067916,218.49571,227.16316
BABA,2021-11-15 09:45:00,166.81,167.85,165.1735,167.775,163.41,13741775.0,-0.00619606,0.0014387956,0.0,16665500,162.45628,189.60294
BAC,2021-11-15 09:45:00,47.17,46.91,47.51,47.26,47.12,768553.0,0.0055424925,0.0,0.004902996,37302166,45.82143,42.040432
BEKE,2021-11-15 09:45:00,22.61,23.34,21.98,22.78,21.9,9177693.0,-0.03127676,0.006191923,-0.018133562,13591766,20.20857,31.466834999999996
BIDU,2021-11-15 09:45:00,161.46,161.42,160.52,162.85,158.59,1807380.0,0.00024785372,0.0,-0.00563749,3372300,162.35556,174.83525
BIIB,2021-11-15 09:45:00,273.11,270.43,273.82,273.82,271.53,42509.0,0.009910116,0.0,0.012202856000000002,845216,276.0617,312.8039
BILI,2021-11-15 09:45:00,86.05,84.83,83.84,86.99,83.67,2323251.0,0.014381719,-0.00023247264,0.0,2559300,74.11667,90.80752
BKNG,2021-11-15 09:45:00,2451.65,2479.04,2495.66,2495.66,2442.42,316822.0,-0.011048687,0.0,0.0,459685,2466.9314,2312.686
BRK-B,2021-11-15 09:45:00,285.99,284.65,284.88,286.1,283.8,2910938.0,0.0047075227,3.5000396999999996e-05,0.0,3411050,283.5772,282.6961
C,2021-11-15 09:45:00,67.89,68.45,67.78,68.24,67.44,11211498.0,-0.008181118000000001,0.0,-0.00949589,24090566,70.44611,71.656044
CAT,2021-11-15 09:45:00,209.39,214.25,215.18,215.56,208.97,2436248.0,-0.022683783,0.0,0.00723455,3475316,198.21722,214.31554
CHTR,2021-11-15 09:45:00,689.35,694.21,695.95,697.92,689.12,730133.0,-0.00700083,-7.251439e-05,0.0,726442,711.5282599999999,725.51074
CL=F,2021-11-15 09:45:00,79.34,80.79,80.66,81.2,79.34,161722.0,-0.017947823,0.0,0.0,489321,80.71371500000001,72.22301999999999
CMCSA,2021-11-15 09:45:00,53.68,53.5,53.45,53.7,53.26,546558.0,0.0033644916999999996,0.0,-0.0013084055,13962266,54.143143,56.79935
CNH=F,2021-11-15 09:45:00,6.388999999999999,6.3936,6.3870000000000005,6.388999999999999,6.3870000000000005,7.0,-0.0007194769999999999,0.0,0.0,181,6.4228544,6.452125
COST,2021-11-15 09:45:00,517.17,512.18,514.25,519.66,513.3069,1780234.0,0.009742649,-0.00036738877,0.0,1948042,474.71085,429.80605999999995
CRM,2021-11-15 09:45:00,309.25,309.96,310.0,311.74,307.22,2333353.0,-0.0022905907,0.0,-0.00125818,3945166,285.1164,253.19366000000002
CSCO,2021-11-15 09:45:00,57.445,57.0,57.07,57.6299,56.9,7937395.0,0.0078070119999999995,0.0,-0.00087717955,16401516,55.677776,54.880287
CSX,2021-11-15 09:45:00,35.23,35.12,35.23,35.525,35.055,7348349.0,0.0031321358,-0.00028380135,0.0,9154762,33.715,32.821396
CVX,2021-11-15 09:45:00,116.0686,115.15,115.27,116.12,114.46,5961751.0,0.007977438,0.0,0.00208422,9381300,107.901665,104.12
DHR,2021-11-15 09:45:00,304.38,304.54,305.5,307.44,301.945,2732881.0,-0.0005253946,-0.0014458703,0.0,3115050,305.0472,289.1461
DIS,2021-11-15 09:45:00,159.55,162.11,163.52,163.61,158.93,21086441.0,-0.015791731,0.0,0.00993153,16145875,172.83055,176.81688
DOCU,2021-11-15 09:45:00,255.66,275.17,273.61,274.48,253.305,3665819.0,-0.070901655,0.0052413220000000005,0.00563249,1748725,268.5925,263.24115
DOW,2021-11-15 09:45:00,59.95,60.06,59.79,60.82,59.94,331922.0,-0.0018315120000000002,0.0,0.0091575,4510533,58.410286,62.435036
DX-Y.NYB,2021-11-15 09:45:00,95.12200000000001,95.12799999999999,95.18299999999999,95.265,94.99700000000001,0.0,-6.3038264e-05,0.0,0.0,0,94.01685,92.348885
EURUSD=X,2021-11-15 09:45:00,1.1442957,1.1445576000000002,1.1446886,1.1469204,1.1439030000000001,0.0,-0.0002288289,0.0,0.0,0,1.1591505,1.1837752000000001
FAS,2021-11-15 09:45:00,143.65,142.75,143.34,143.6899,140.05,705627.0,0.0063046859999999995,0.00243652,0.004176861,982033,135.63629,119.96568
FAZ,2021-11-15 09:45:00,18.49,18.71,18.59,18.79,18.34,624441.0,-0.0117583815,-0.005408349399999999,-0.0075716274,1245275,20.01,24.181065
FB,2021-11-15 09:45:00,340.89,327.74,330.18,341.86,329.78,25414311.0,0.040123343,0.0012026553,0.009856508,20397950,331.77487,343.10913
FISV,2021-11-15 09:45:00,100.82,99.92,100.1923,101.7,100.15,3681580.0,0.009007221,0.0017853631,0.0,5058687,105.65,110.74893999999999
GC=F,2021-11-15 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
GE,2021-11-15 09:45:00,111.29,108.42,114.73,116.165,110.48,24897857.0,0.026471157000000002,0.00727826,0.008266674,5154983,104.54372,104.837395
GILD,2021-11-15 09:45:00,67.48,67.43,67.66,67.77,67.2,8214754.0,0.00074155495,0.0,0.0,5959016,67.47399999999999,68.60453000000001
GOOG,2021-11-15 09:45:00,2992.91,2934.96,2956.63,2997.0,2929.08,852383.0,0.019744717,-0.0009689239999999999,0.0,946928,2840.494,2673.4587
