symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-11-05 09:45:00,151.72,150.74,151.58,152.1899,151.51,6686860.0,0.006501231999999999,0.0,0.00609159,75052075,145.85278,140.50107
ABBV,2021-11-05 09:45:00,116.66,117.06,117.57,116.92,116.66,106274.0,-0.0034169990000000004,0.0,0.0,7526775,109.562225,113.4361
ABT,2021-11-05 09:45:00,128.45,128.94,129.33,129.53,128.2001,4148791.0,-0.00380026,0.0,0.000155144,4063616,122.31917,119.88446
ACN,2021-11-05 09:45:00,356.32,354.05,355.44,358.42,354.74,1474545.0,0.0064115794,-5.6184099999999996e-05,2.8272183e-05,1629662,337.27362,311.60455
ADBE,2021-11-05 09:45:00,671.54,674.08,676.74,677.3709,671.49,236259.0,-0.0037681565,0.0,0.0037532202000000003,2029100,617.1130400000001,585.86584
ADI,2021-11-05 09:45:00,184.01,180.73,179.0,184.17,182.4,123869.0,0.018148611999999998,0.0,0.017872024,3278262,172.42917,165.75113000000002
ADP,2021-11-05 09:45:00,228.68,226.19,225.67,228.98,227.78,53074.0,0.011008400500000001,0.0,0.00981476,1449137,209.15666000000002,203.32347
ADSK,2021-11-05 09:45:00,308.37,314.92,313.71,314.245,302.01,1398198.0,-0.02079899,0.0,-0.0051759304,920357,292.4589,295.91418
AMAT,2021-11-05 09:45:00,151.24,150.13,143.27,152.98,149.5,1037091.0,0.007393596,0.0,0.00179837,6407662,134.32861,134.43433000000002
AMD,2021-11-05 09:45:00,139.07,137.5,139.185,141.22,138.49,9866366.0,0.0114182355,0.0,0.0112727,63913612,111.795,96.59411999999999
AMGN,2021-11-05 09:45:00,214.99,214.93,215.61,215.99,213.525,143296.0,0.00027922032,0.0,0.0028847102,2676775,210.73528,231.91027999999997
AMZN,2021-11-05 09:45:00,3477.0,3384.0,3370.0,3498.55,3365.0,71610.0,0.02748227,-0.0005752085,0.0008512271499999999,4069837,3352.4944,3384.8142
ARKK,2021-11-05 09:45:00,124.19,124.39,124.7321,124.501,123.2,473750.0,-0.0016078218,0.0,-0.00393921,5512437,116.65056000000001,117.7956
ARKQ,2021-11-05 09:45:00,89.755,89.25,89.52,89.8,89.5,46858.0,0.0056582326,0.0,0.0039215516,345075,81.60221999999999,81.690636
ASML,2021-11-05 09:45:00,852.02,850.49,831.64,854.64,849.53,117467.0,0.0017989973999999998,0.0,0.00168138,708075,793.76025,739.5903
ATVI,2021-11-05 09:45:00,68.62,68.23,67.47,68.65,68.62,80597.0,0.0057159513,0.0,0.0051237596000000005,13723275,76.66778000000001,86.344536
AVGO,2021-11-05 09:45:00,554.56,548.62,550.0,556.3201,549.81,129890.0,0.010827171000000002,0.0,0.0024789202,1726637,506.00278,480.4692
AXP,2021-11-05 09:45:00,174.21,173.78,174.58,176.07,173.375,2187733.0,0.0024744386,0.001664619,0.0057832003,3870360,172.42229,165.18819
BA,2021-11-05 09:45:00,218.8844,213.03,213.8,219.59,217.845,2019131.0,0.027481578,0.0,0.025677099999999994,8634112,217.355,228.05049
BABA,2021-11-05 09:45:00,164.72,164.79,169.28,164.81,164.6,329425.0,-0.0004247349,0.0,-0.0005461274400000001,15732700,160.34445,192.82872
BAC,2021-11-05 09:45:00,47.77,47.33,48.15,47.78,47.59,1670671.0,0.0092964,0.0,0.0055989726,39229450,44.558056,41.65695
BEKE,2021-11-05 09:45:00,17.76,18.37,19.02,17.84,17.7,632085.0,-0.033206347000000004,0.0,-0.029395802000000002,9683750,19.456944,33.22092
BIDU,2021-11-05 09:45:00,162.8,162.58,163.6777,163.6777,162.0657,386177.0,0.0013531874,0.0,0.00479763,3383512,162.41443999999998,176.09601999999998
BIIB,2021-11-05 09:45:00,266.68,264.87,264.41,267.98,262.09,857909.0,0.006833532,0.0,-0.00030198402,1412250,284.18695,311.7505
BILI,2021-11-05 09:45:00,75.48,79.2,80.5,80.96,75.22,3343783.0,-0.04696962,0.0019872005,0.016287899999999998,2581512,72.855835,92.14571
BKNG,2021-11-05 09:45:00,2617.4,2437.01,2544.34,2631.68,2516.045,158282.0,0.07402099,0.0,0.0392858,274262,2434.578,2306.3289
BRK-B,2021-11-05 09:45:00,290.235,287.69,289.13,290.255,288.45,324963.0,0.008846268000000001,0.0,0.00267645,3526425,281.7675,282.0134
C,2021-11-05 09:45:00,67.59,67.0,68.75,67.88,67.29,2735685.0,0.008805916,0.0,0.012382098999999999,22677875,70.57166,71.68177
CAT,2021-11-05 09:45:00,207.44,203.59,204.0,207.44,205.23,274865.0,0.018910585,0.0,0.0078343805,3427212,197.75111,214.83049
CHTR,2021-11-05 09:45:00,699.65,686.07,691.78,700.0,692.635,28799.0,0.019793922,0.0,-0.0015596183,1144187,722.29974,723.2409
CL=F,2021-11-05 09:45:00,79.78,78.81,79.37,80.17,78.96,197467.0,0.012308098,0.0,0.0,466869,78.858284,71.20407
CMCSA,2021-11-05 09:45:00,52.26,51.43,51.48,52.69,51.4434,19052166.0,0.016138403,0.0022962638,0.0,19568240,55.139713,56.895943
CNH=F,2021-11-05 09:45:00,6.4064,6.3999,6.4011,6.4227,6.4118,243.0,0.001015679,0.0,0.0,118,6.4408145,6.4565377
COST,2021-11-05 09:45:00,514.86,515.62,507.01,517.9,514.1561,175466.0,-0.0014739726999999998,0.0,-0.00205577,1998050,465.36972000000003,423.4822
CRM,2021-11-05 09:45:00,308.44,308.04,303.5,311.375,308.16,414264.0,0.0012985128,0.0,0.000584316,3767562,282.44083,251.75232999999997
CSCO,2021-11-05 09:45:00,57.3,57.12,57.6,57.46,57.08,1231457.0,0.003151266,0.0,0.00367652,15501587,55.680831999999995,54.76851
CSX,2021-11-05 09:45:00,35.73,35.43,35.49,35.79,35.635,219159.0,0.008467379,0.0,0.0,10190837,32.84083,32.75137
CVX,2021-11-05 09:45:00,114.72,113.51,114.22,114.8,113.93,797019.0,0.010659846499999999,0.0,0.00431678,9984825,106.906944,103.908226
DHR,2021-11-05 09:45:00,313.25,309.68,310.33,314.83,308.67,2641319.0,0.011528053,-0.0001595525,-0.0013885065,2095383,310.14835,286.17294
DIS,2021-11-05 09:45:00,173.2916,170.28,170.03,173.53,172.33,1947860.0,0.017686145,0.0,0.01891,7209062,173.55472,177.20653000000001
DOCU,2021-11-05 09:45:00,284.11,283.21,283.21,288.095,282.69,905821.0,0.0031778323,-0.0014430087,-0.015205298,1292325,269.2886,261.63226000000003
DOW,2021-11-05 09:45:00,58.04,57.17,59.0,58.24,57.24,603269.0,0.01521782,0.0,0.00139937,7378300,58.046112,62.60531999999999
DX-Y.NYB,2021-11-05 09:45:00,93.866,94.12299999999999,94.134,94.309,93.85799999999999,0.0,-0.00273051,0.0,0.0,0,93.682,92.16232
EURUSD=X,2021-11-05 09:45:00,1.1538018,1.1558021,1.1558021,1.1566041999999999,1.1516757,0.0,-0.0017307147,0.0,0.0,0,1.1634268,1.1864692
FAS,2021-11-05 09:45:00,147.035,144.87,145.29,147.8,144.2699,534301.0,0.014944493,0.0,0.0050390796,1077966,128.04166999999998,117.17561
FAZ,2021-11-05 09:45:00,18.32,18.12,18.1049,18.44,17.98,983010.0,0.011037463999999999,0.0010917281,0.0,1636900,21.363142,24.971714000000002
FB,2021-11-05 09:45:00,342.19,335.85,340.31,342.34,340.0,2696493.0,0.018877463,0.0,0.013637001000000001,35823475,335.93945,341.1241
FISV,2021-11-05 09:45:00,101.46,99.38,99.62,101.59,99.25,5974837.0,0.020929785,0.0046323794,0.0030187498999999997,8649285,107.342285,111.96323400000001
GC=F,2021-11-05 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
GE,2021-11-05 09:45:00,107.9043,105.21,105.87,107.9043,106.85,750380.0,0.025608761,0.0,0.016443301,6295862,103.98583,104.85843999999999
GILD,2021-11-05 09:45:00,65.892,66.47,67.12,65.95,65.892,453126.0,-0.008695696,0.0,-0.0094780335,7660737,68.355835,68.51397
