symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-08 09:45:00,156.61,156.69,154.97,156.99,156.44,2819148,-0.0005105739700000001,0.0,0.0018507451999999998,78132316,148.46315,134.13283
ABBV,2021-09-08 09:45:00,108.12,109.03,110.45,108.48,107.73,429387,-0.00834629,0.0,-0.008621503,15500683,116.77515,112.81448999999999
ABT,2021-09-08 09:45:00,128.39,128.94,128.12,128.485,127.05,2538921,-0.0042655733000000005,-0.0010904228999999998,-0.00295977,3576300,123.39571000000001,119.02601999999999
ACN,2021-09-08 09:45:00,341.49,343.33,343.33,344.43,340.2395,1380697,-0.00535927,-0.001376325,0.0014934838000000001,1463916,325.56,293.40695
ADBE,2021-09-08 09:45:00,661.39,666.59,667.35,668.87,656.57,1382387,-0.0078009153,-0.00058968936,-0.0066224234,1484250,637.2974,541.3867
ADI,2021-09-08 09:45:00,163.27,162.44,162.66,163.74,162.145,3774108,0.0051095904999999995,-0.00471614,0.0032461490000000003,5430650,166.47,160.69427
ADP,2021-09-08 09:45:00,202.23,207.38,206.86,207.3,201.85,1206638,-0.024833685,0.0,0.0013351346,1358816,209.77686,196.48695
ADSK,2021-09-08 09:45:00,286.55,287.46,290.76,287.45,285.5,58327,-0.0031656707,0.0,-0.004835400300000001,2589233,319.22943,292.06203999999997
AMAT,2021-09-08 09:45:00,136.49,135.83,136.6465,137.125,133.76,5551225,0.004859042,-0.00014656218,-0.0030405784,5332100,135.42600000000002,131.21732
AMD,2021-09-08 09:45:00,109.12,109.15,109.955,109.29,108.58,1021697,-0.00027483993,0.0,-0.0023820626,42583050,105.18656999999999,87.722176
AMGN,2021-09-08 09:45:00,221.65,221.34,223.0,222.2,221.0,98640,0.0014005493,0.0,0.0,2374866,231.99742,240.50782999999998
AMZN,2021-09-08 09:45:00,3509.29,3478.05,3478.0,3528.09,3476.94,2741184,0.008982041999999999,0.0010571827999999999,0.0005670634599999999,3235966,3404.3071,3321.853
ARKK,2021-09-08 09:45:00,124.71,125.07,125.21,126.32,124.18,4116850,-0.002878393,-0.0024857474,-0.0044903983,3808216,121.074,119.81391
ARKQ,2021-09-08 09:45:00,85.84,85.57,85.55,86.25,85.5201,292398,0.0031552722,-0.00477628,-0.006290695600000001,282766,81.60257,82.5388
ASML,2021-09-08 09:45:00,861.77,858.105,865.29,868.88,857.76,781120,0.004271085,3.4775243e-05,-0.004606834000000001,646316,788.74255,675.4810000000001
ATVI,2021-09-08 09:45:00,78.77,78.47,81.405,78.85,78.27,251262,0.0038230587,0.0,-0.001274353,8946666,83.63514,91.39957
AVGO,2021-09-08 09:45:00,496.59,497.68,497.6,497.6,491.0,1239944,-0.002190155,-0.0011679385,-0.0019935767999999998,1735966,484.40085,469.8102
AXP,2021-09-08 09:45:00,159.15,159.72,158.87,159.19,159.04,6894,-0.003568791,0.0,-0.0045078965000000006,3503916,167.01256999999998,157.48189
BA,2021-09-08 09:45:00,214.24,218.17,215.91,216.71,212.1726,13196121,-0.018013400000000002,-0.00042014374,-0.0034540957,8330833,224.17514,235.8092
BABA,2021-09-08 09:45:00,173.88,175.16,174.15,174.37,173.56,322160,-0.0073075974,0.0,-0.0051952708,24710800,184.64772,214.34479
BAC,2021-09-08 09:45:00,41.1,41.32,41.25,41.275,41.04,1505020,-0.005324328000000001,0.0,-0.007502453399999999,46995333,40.161713,39.869347
BEKE,2021-09-08 09:45:00,21.75,22.0,20.0,22.0099,21.61,602955,-0.011363637,0.0,-0.013636328999999999,16649216,22.094,44.691303000000005
BIDU,2021-09-08 09:45:00,167.72,166.68,167.57,167.73,166.81,173089,0.0062395525,0.0,0.0008699561,6258083,159.89571999999998,201.39941000000002
BIIB,2021-09-08 09:45:00,327.24,333.6,331.31,332.7,325.22,967291,-0.019064795,0.0007945538000000001,-0.0066846902,820360,337.27176000000003,308.62796000000003
BILI,2021-09-08 09:45:00,91.14,85.95,90.8,93.47,90.43,6868060,0.06038398,0.0072416468,-0.016787346,6398233,82.83629,103.24884
BKNG,2021-09-08 09:45:00,2338.57,2304.45,2307.91,2342.01,2305.2798,234831,0.014806187,-0.0015223229,0.0,270866,2201.8328,2286.0781
BRK-B,2021-09-08 09:45:00,278.9,281.89,281.91,281.91,278.73,4789467,-0.010607047,0.0010757200999999999,0.0,4442500,283.64227,274.88007000000005
C,2021-09-08 09:45:00,70.82,71.17,71.36,72.275,70.71,14517074,-0.0049177813,0.00056482514,-0.0018356009,14494733,70.42514,72.00551
CAT,2021-09-08 09:45:00,208.23,210.37,210.04,210.3423,207.845,2545067,-0.0101726,-0.000384199,-0.0029054207,2829600,210.79372,222.7487
CHTR,2021-09-08 09:45:00,800.83,811.33,808.45,811.5,800.24,1096987,-0.0129417125,0.031754542000000004,0.0,850966,771.87054,692.3208599999999
CL=F,2021-09-08 09:45:00,69.58,68.35,68.37,69.75,68.31,140095,0.017995661,0.0,0.0,378555,68.90411,66.62550999999999
CMCSA,2021-09-08 09:45:00,61.72,61.75,61.4039,61.8,61.33,7876889,-0.00048581019999999995,-0.0034025096999999995,-0.0038866699,11574537,58.82861,56.56593
CNH=F,2021-09-08 09:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
COST,2021-09-08 09:45:00,458.935,459.6,462.5,459.48,458.3124,40326,-0.001446929,0.0,-0.002045262,1410833,442.09027000000003,387.78732
CRM,2021-09-08 09:45:00,263.7,265.21,266.54,264.28,263.22,158976,-0.005693523000000001,0.0,-0.006409946,5891333,252.25714,234.06072999999998
CSCO,2021-09-08 09:45:00,58.665,58.88,59.235,58.77,58.63,334003,-0.003651497,0.0,-0.0028872617999999997,13565616,56.71743000000001,52.836666
CSX,2021-09-08 09:45:00,31.51,32.0,31.88,31.995,31.47,11167364,-0.015312493,0.0012694099,0.00026658087000000003,10789716,32.811714,32.44814
CVX,2021-09-08 09:45:00,97.725,97.06,97.02,97.73,97.265,216031,0.0068514417000000005,0.0,0.0029868302000000003,10839383,99.36143,103.707466
DHR,2021-09-08 09:45:00,327.6,324.16,323.59,328.115,321.04,2179744,0.010612052,0.0,0.010012206,1843900,305.13583,259.43683
DIS,2021-09-08 09:45:00,184.43,184.34,181.02,184.83,183.95,228975,0.00048820843000000003,0.0,-0.00035262256,7731166,177.856,181.65544
DOCU,2021-09-08 09:45:00,292.1024,291.5,310.7,294.37,291.5001,148402,0.0020665058,0.0,0.0051457975,4055266,297.88,245.84174
DOW,2021-09-08 09:45:00,61.87,62.12,61.98,62.3,61.64,2514731,-0.0040244697999999995,0.0004849296,-0.00032326588,3823916,62.201427,64.09543599999999
DX-Y.NYB,2021-09-08 09:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
