symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-11-02 09:45:00,148.96,149.8,148.985,149.7,147.8,74588258.0,-0.0056074522,-0.0034908985,-0.0030210271999999995,77847133,145.6925,140.23266999999998
ABBV,2021-11-02 09:45:00,115.5299,114.81,115.25,115.59,115.24,530189.0,0.0062703774,0.0,0.004964722,7408816,108.74472,113.318275
ABT,2021-11-02 09:45:00,128.74,128.94,128.635,129.33,128.74,107112.0,-0.0015510854000000001,0.0,0.00015514404,4063616,122.31917,119.88446
ACN,2021-11-02 09:45:00,356.32,354.05,355.44,358.42,354.74,1474545.0,0.0064115794,-5.6184099999999996e-05,2.8272183e-05,1629662,337.27362,311.60455
ADBE,2021-11-02 09:45:00,644.99,640.2,651.05,645.0,639.5,82398.0,0.0074820025,0.0,-0.00021870455,1939716,616.6014,583.9029
ADI,2021-11-02 09:45:00,176.865,174.99,173.18,177.115,174.7,108497.0,0.010714898,0.0,-0.00217158,3178166,171.95389,165.4169
ADP,2021-11-02 09:45:00,221.44,224.49,224.11,224.42,221.06,655175.0,-0.013586365,0.0,0.00877545,1521016,206.59,202.54813000000001
ADSK,2021-11-02 09:45:00,315.735,315.01,318.5,315.96,314.405,25611.0,0.0023014366000000002,0.0,0.00628545,908250,291.52443999999997,295.80798
AMAT,2021-11-02 09:45:00,140.36,139.51,136.98,140.3801,139.2506,257455.0,0.006092797,0.0,-0.0029030090000000002,6189800,133.95972,134.20776
AMD,2021-11-02 09:45:00,125.77,125.23,119.45,126.43,124.62,2453370.0,0.0043120123,0.0,-0.001876552,60223416,109.58583,95.72849000000001
AMGN,2021-11-02 09:45:00,209.79,206.97,208.0,212.07,207.77,3105329.0,0.0136251245,-0.0002382754,0.0040993406,2240533,210.83444,232.42978
AMZN,2021-11-02 09:45:00,3306.61,3318.11,3361.8,3315.05,3305.58,119452.0,-0.0034658283000000003,0.0,-0.0009373128999999999,3901400,3358.3059999999996,3384.7805
ARKK,2021-11-02 09:45:00,123.65799999999999,125.12,121.93,124.58,123.6499,192213.0,-0.0116848275,0.0,-0.0049552647,5791416,116.11528,117.7082
ARKQ,2021-11-02 09:45:00,88.19,84.8,85.61,88.36,85.51,437041.0,0.039976407,0.0054427497,0.0,326260,80.90686,81.51985
ASML,2021-11-02 09:45:00,812.83,805.3563,806.91,813.44,811.42,36820.0,0.009279984,0.0,0.005944625,720283,798.0967,736.94525
ATVI,2021-11-02 09:45:00,78.58,79.35,78.94,79.3587,78.35,278978.0,-0.009703802,0.0,-0.0035286553000000004,7968100,77.27805,86.75115
AVGO,2021-11-02 09:45:00,530.25,528.05,530.336,531.4,526.775,42707.0,0.0041662953,0.0,0.0,1738100,502.73917,479.11432
AXP,2021-11-02 09:45:00,174.21,173.78,174.58,176.07,173.375,2187733.0,0.0024744386,0.001664619,0.0057832003,3870360,172.42229,165.18819
BA,2021-11-02 09:45:00,214.94,214.58,207.0,215.2544,213.24,405834.0,0.0016776988,0.0,-0.0052661240000000005,9943550,217.38528,228.51883999999998
BABA,2021-11-02 09:45:00,165.21,170.17,165.84,167.02,164.89,1346877.0,-0.029147275,0.0,-0.021449104,14945333,160.0525,193.76698000000002
BAC,2021-11-02 09:45:00,47.64,47.85,48.1,47.73,47.5625,1438310.0,-0.0043886956,0.0,-0.0064785276,36504083,43.92861,41.505035
BEKE,2021-11-02 09:45:00,19.66,18.22,18.5,19.76,18.23,9360752.0,0.07903406,0.0,-0.035096668,9401340,19.37857,33.768333
BIDU,2021-11-02 09:45:00,165.27,170.32,162.54,166.11,164.4763,327181.0,-0.029650087000000002,0.0,-0.025481512999999997,3475116,162.28361999999998,176.63942
BIIB,2021-11-02 09:45:00,266.68,264.87,264.41,267.98,262.09,857909.0,0.006833532,0.0,-0.00030198402,1412250,284.18695,311.7505
BILI,2021-11-02 09:45:00,80.69,73.3,74.05,80.97,74.02,3365219.0,0.100818545,0.0037178759999999997,0.0101009,2661116,72.71486,92.58317
BKNG,2021-11-02 09:45:00,2465.0,2489.69,2420.13,2494.0408,2465.0,23004.0,-0.009916875,0.0,0.00387202,194883,2426.2605,2304.6265
BRK-B,2021-11-02 09:45:00,286.44,286.24,288.05,287.0,285.93,129748.0,0.0006987569999999999,0.0,0.0010844914,3552766,280.96085,281.81052
C,2021-11-02 09:45:00,69.455,69.61,69.93,69.73,69.2,1021948.0,-0.002226674,0.0,0.004166080999999999,19516033,70.71472,71.76244
CAT,2021-11-02 09:45:00,205.37,205.38,204.29,205.93,203.96,85246.0,-4.8737784e-05,0.0,0.0028483370000000003,3600416,197.75111,215.18129
CHTR,2021-11-02 09:45:00,673.0930000000001,671.37,675.0,674.09,670.27,43870.0,0.0025664277,0.0,-0.0035300896999999995,1165583,729.5225,723.4621
CL=F,2021-11-02 09:45:00,83.28,84.05,83.87,84.41,83.02,172662.0,-0.009161265,0.0,0.0,512099,78.02194,70.98510999999999
CMCSA,2021-11-02 09:45:00,52.26,51.43,51.48,52.69,51.4434,19052166.0,0.016138403,0.0022962638,0.0,19568240,55.139713,56.895943
CNH=F,2021-11-02 09:45:00,6.4139,6.4283,6.4283,6.4132,6.4002,110.0,-0.0022400955,0.0,0.0,133,6.445343,6.4592824
COST,2021-11-02 09:45:00,493.59,491.87,494.15,494.74,493.4445,230375.0,0.0034968615999999998,0.0,0.0031309258,1900800,461.58804000000003,421.34365999999994
CRM,2021-11-02 09:45:00,299.86,302.76,301.5,302.16,299.77,202245.0,-0.009578625,0.0,-0.006804061,3643800,278.2953,250.46841
CSCO,2021-11-02 09:45:00,56.85,56.1,55.8691,56.8505,56.2849,1387263.0,0.013368985,0.0,0.001782572,13473150,55.7125,54.696186
CSX,2021-11-02 09:45:00,35.69,36.17,36.14,36.19,35.455,10976061.0,-0.013270655,-0.0008405374000000001,0.0,10410240,32.343716,32.669083
CVX,2021-11-02 09:45:00,114.01,114.53,115.03,114.14,113.6703,470174.0,-0.004540265999999999,0.0,-0.002095502,10029916,105.57528,103.695465
DHR,2021-11-02 09:45:00,311.75,309.68,312.9,311.84,308.67,205535.0,0.006684343299999999,0.0,-0.0013885065,2095383,310.14835,286.17294
DIS,2021-11-02 09:45:00,169.975,170.19,169.21,170.16,169.77,223185.0,-0.0012632725,0.0,-0.00082260644,7726883,174.71028,177.43303
DOCU,2021-11-02 09:45:00,277.96,278.29,277.27,279.13,274.52,935815.0,-0.0011858747,-0.0005756356,-0.0023923516000000002,1341000,268.27945,260.95612
DOW,2021-11-02 09:45:00,57.63,57.44,56.01,57.965,57.58,283617.0,0.003307842,0.0,0.00678975,7351766,58.209446,62.714676000000004
DX-Y.NYB,2021-11-02 09:45:00,93.866,94.12299999999999,94.134,94.309,93.85799999999999,0.0,-0.00273051,0.0,0.0,0,93.682,92.16232
EURUSD=X,2021-11-02 09:45:00,1.1599582,1.1609008,1.1611704999999999,1.16171,1.1590171999999999,0.0,-0.0008119672,0.0,0.0,0,1.1646816,1.1870481000000002
FAS,2021-11-02 09:45:00,144.87,144.71,147.3,148.2768,143.38,909443.0,0.00110558,0.00434876,0.0050390763,1077966,128.04166999999998,117.17561
FAZ,2021-11-02 09:45:00,18.32,18.12,18.1049,18.44,17.98,983010.0,0.011037463999999999,0.0010917281,0.0,1636900,21.363142,24.971714000000002
FB,2021-11-02 09:45:00,329.39,329.98,326.04,331.7,329.39,972323.0,-0.0017879760000000001,0.0,0.004485060999999999,42231733,339.58972,341.07288
FISV,2021-11-02 09:45:00,98.49,98.53,98.35,100.32,98.175,5108273.0,-0.00040597699,0.006295083000000001,0.0,7035028,107.802,112.399925
GC=F,2021-11-02 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
GE,2021-11-02 09:45:00,105.89,106.23,105.76,106.38,105.655,114170.0,-0.0032006396999999997,0.0,0.00018823912,7265933,103.68389,104.85100600000001
GILD,2021-11-02 09:45:00,65.51,65.64,64.82,65.76,65.385,128457.0,-0.001980458,0.0,0.0016758167000000001,7203816,68.73305500000001,68.543594
GOOG,2021-11-02 09:45:00,2909.0,2875.48,2963.3,2909.2,2893.82,60924.0,0.011657191,0.0,0.0073083923,1623300,2811.4685,2633.4133
GOOGL,2021-11-02 09:45:00,2902.58,2869.94,2960.92,2906.8709999999996,2886.71,81225.0,0.011373107,0.0,0.007249342,2465083,2803.323,2595.0417
GS,2021-11-02 09:45:00,414.355,416.7,417.07,416.8,414.01,86323.0,-0.005627551999999999,0.0,-0.004079703,1843500,396.8911,381.63699999999994
HD,2021-11-02 09:45:00,366.48,371.74,373.0,373.57,364.7,3272637.0,-0.014149618999999999,5.4543256e-05,0.0,3084200,344.69638,328.09238
HON,2021-11-02 09:45:00,218.48,215.72,214.38,218.7794,214.38,1907425.0,0.012794337,0.00192236,-0.0048211040000000005,2268937,218.23833,224.43007000000003
IBM,2021-11-02 09:45:00,126.28,125.1,125.05,126.31,123.8375,5340497.0,0.009432456,-0.0005938941,0.00039596966,6698200,136.74167,141.21669
IDXX,2021-11-02 09:45:00,666.48,666.14,665.08,670.925,656.18,452983.0,0.0005103519,-0.0009601989999999999,-0.00399321,266466,642.89886,623.0317
ILMN,2021-11-02 09:45:00,416.8,415.06,415.48,419.77,414.95,488515.0,0.0041921414,0.0,0.00047987577000000006,633000,417.51862,441.02099999999996
INTC,2021-11-02 09:45:00,49.69,49.55,49.4,49.69,49.5338,1224187.0,0.0028254165999999996,0.0,0.0020182098000000002,42366816,53.02639,55.11813000000001
INTU,2021-11-02 09:45:00,625.99,615.41,613.36,626.58,611.905,1038244.0,0.01719182,1.5990296e-05,0.0,1115300,562.5982700000001,502.69965
ISRG,2021-11-02 09:45:00,356.975,355.03,361.69,357.88,356.12,23772.0,0.005478431,0.0,0.002732167,1683683,339.03445,316.62106
JD,2021-11-02 09:45:00,82.5,78.28,78.66,82.55,78.59,6063625.0,0.05390906,0.0037575462,-0.01818182,5994083,77.9,74.8037
JNJ,2021-11-02 09:45:00,163.84,163.02,163.16,164.22,163.52,130859.0,0.005030009,0.0,0.0030671083000000003,6887416,162.67195,167.53188
JPM,2021-11-02 09:45:00,169.44,169.8,172.04,169.96,169.13,272837.0,-0.002120145,0.0,-0.0035336048,8468100,165.06223,158.92899
KO,2021-11-02 09:45:00,56.41,56.17,56.39,56.5,56.32,516457.0,0.004272773400000001,0.0,0.005340984,16666800,54.338609999999996,55.11597
LLY,2021-11-02 09:45:00,250.52,249.31,255.11,251.79,249.49,61366.0,0.0048534223,0.0,0.008583689,3291866,236.05861000000002,229.38115
LRCX,2021-11-02 09:45:00,574.51,572.76,565.0,575.9,572.05,53604.0,0.003055381,0.0,0.0024617172,1380466,574.26886,607.61017
MA,2021-11-02 09:45:00,333.28,334.05,335.25,335.73,333.05,143813.0,-0.0023050113,0.0,0.0028139574,5982483,348.8475,364.26035
MCD,2021-11-02 09:45:00,250.58,245.55,245.8,251.69,245.34,4421078.0,0.02048462,-0.00231464,0.0024742403,3954716,243.27277999999998,237.33877999999999
MDLZ,2021-11-02 09:45:00,60.62,60.91,60.7,60.97,60.58,313147.0,-0.004761138,0.0,0.00065672194,4924800,60.00611,61.828274
MDT,2021-11-02 09:45:00,119.86,121.27,120.59,120.59,118.88,8118734.0,-0.011626899999999999,0.0,0.0,4432785,125.83828999999999,127.31506999999999
MELI,2021-11-02 09:45:00,1483.41,1489.66,1485.58,1498.25,1483.41,12558.0,-0.004195588,0.0,0.006940912,385483,1649.3192,1594.6789999999999
MMM,2021-11-02 09:45:00,180.3498,179.58,178.53,180.3498,179.61,64212.0,0.004286616599999999,0.0,-0.000974513,2497100,180.02167,193.9677
MRK,2021-11-02 09:45:00,88.26,87.84,88.05,88.38,88.1501,89131.0,0.004781487,0.0,0.0034153354,14275500,78.15583000000001,76.38332
MRNA,2021-11-02 09:45:00,337.17,345.21,334.99,338.0599,320.79,8644640.0,-0.023290109,-0.00643596,0.0026395707,6501033,364.88416,292.76602
MSFT,2021-11-02 09:45:00,329.37,331.62,331.355,331.49,326.37,27010757.0,-0.006784874000000001,9.1079295e-05,0.00282355,31056550,301.12917999999996,279.2108
MU,2021-11-02 09:45:00,70.2225,70.7,68.97,70.6613,70.05,812095.0,-0.0067537953000000005,0.0,-0.00424322,15255433,70.64278,77.01928000000001
NFLX,2021-11-02 09:45:00,680.72,681.17,689.06,683.6117,680.72,77383.0,-0.00066064595,0.0,0.0028553921999999996,3133433,622.3322,547.5793
NIO,2021-11-02 09:45:00,40.84,39.41,38.11,40.84,38.11,51773854.0,0.036285213999999996,-0.0031831798,-0.004407451,41790216,37.18111,40.295466999999995
NKE,2021-11-02 09:45:00,167.19,166.33,167.8,167.29,166.11,138115.0,0.0051704478,0.0,0.0024650013,4477416,155.8986,151.28432
NTES,2021-11-02 09:45:00,102.68,97.59,98.52,103.42,98.5,1963667.0,0.052157025999999995,-0.011492018,0.011476601000000001,2381016,90.73428,101.03216
NVDA,2021-11-02 09:45:00,260.39,258.27,256.49,260.972,258.0,1201352.0,0.008208564,0.0,-0.0007356737,29230183,220.41055,192.95125
NXPI,2021-11-02 09:45:00,207.6876,205.13,202.62,208.39,205.2,298532.0,0.0124682,0.0,0.0066299452,2321033,199.88083,202.15489
PDD,2021-11-02 09:45:00,91.9,93.48,89.05,92.06,90.82,328233.0,-0.01690203,0.0,-0.027492506,5116583,94.91167,108.59345
PEP,2021-11-02 09:45:00,161.17,161.26,161.2,161.8,161.14,89257.0,-0.00055808225,0.0,0.001488314,3646650,156.26584,152.02303
PFE,2021-11-02 09:45:00,43.91,43.64,44.14,45.42,43.7019,10179641.0,0.0061869947,0.0,0.032424400000000006,25964816,43.100277,42.122303
PG,2021-11-02 09:45:00,142.64,142.99,143.36,143.8,142.49,4785339.0,-0.0024477663,0.0,0.0007711764,6179500,142.29388,139.20834
PYPL,2021-11-02 09:45:00,231.28,232.59,232.7,233.55,230.22,13596214.0,-0.0056322180000000005,0.00203217,0.0025294307000000003,16303566,261.31277,271.6049
QCOM,2021-11-02 09:45:00,134.945,134.81,132.44,134.97,134.38,276301.0,0.0010014819000000001,0.0,-0.003560535,5487750,131.52667,137.1582
QQQ,2021-11-02 09:45:00,387.3,387.43,386.56,387.3,386.75,1912091.0,-0.0003355571,0.0,-0.0016518703,38577350,369.75916,356.41913
REGN,2021-11-02 09:45:00,639.15,639.94,640.0,648.065,635.765,913848.0,-0.0012344564,-0.0033638808000000004,-0.011969058999999999,836033,595.3514,571.12866
