symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-10-05 09:45:00,139.855,139.14,141.76,140.4,139.41,4310920.0,0.005138683,0.0,0.0025873266000000002,89913183,148.216,137.3779
ABBV,2021-10-05 09:45:00,109.765,108.73,108.84,109.8,109.11,248103.0,0.009518955,0.0,0.0056101624,7326766,112.10428999999999,112.86174
ABT,2021-10-05 09:45:00,116.2,115.53,116.61,116.4675,116.06,75328.0,0.0057993440000000005,0.0,0.0066649723,5951766,124.94828999999999,119.72485
ACN,2021-10-05 09:45:00,319.49,324.86,323.4,324.32,316.01,1727272.0,-0.016530184,0.0078563,0.0,2050300,334.68707,303.86182
ADBE,2021-10-05 09:45:00,562.25,558.49,574.5901,566.36,562.25,138994.0,0.006732457,0.0,0.010689595,3603850,638.486,565.4239
ADI,2021-10-05 09:45:00,165.05,164.26,166.74,165.85,164.61,414380.0,0.0048095006,0.0,0.004626869699999999,4539483,168.64543,163.30327
ADP,2021-10-05 09:45:00,199.97,202.0,200.39,202.67,199.21,1367750.0,-0.010049498,0.0,-4.9980029999999995e-05,1362850,204.35686,199.3729
ADSK,2021-10-05 09:45:00,272.93,284.06,282.87,283.99,271.09,1747790.0,-0.03918188,0.007584389300000001,-0.00478767,1518100,301.3641,293.81592
AMAT,2021-10-05 09:45:00,125.2,129.13,127.66,127.82,123.17,9542094.0,-0.030434506,0.00167737,0.017092647,8697700,134.58171000000002,134.08037
AMD,2021-10-05 09:45:00,100.82,100.34,101.742,101.44,100.6617,1584189.0,0.004783769,0.0,0.0059757,53274983,106.019714,90.83993000000001
AMGN,2021-10-05 09:45:00,212.065,211.44,214.1,212.5208,211.21,198686.0,0.0029559212,0.0,-0.0049659624,2456733,219.67029,238.35536000000002
AMZN,2021-10-05 09:45:00,3211.25,3189.78,3279.39,3214.71,3202.4640000000004,173006.0,0.0067308624,0.0,0.0040739090000000006,3470516,3371.502,3365.2812
ARKK,2021-10-05 09:45:00,107.935,107.19,110.72,108.31,107.57,191188.0,0.0069502294,0.0,0.0054108985,8455516,118.17628500000001,118.28551000000002
ARKQ,2021-10-05 09:45:00,76.41,78.06,77.91,77.935,75.89,336033.0,-0.02113751,0.006020141999999999,0.003010021,291866,81.60257,81.90906
ASML,2021-10-05 09:45:00,724.16,712.94,728.9,727.35,723.76,89582.0,0.015737608,0.0,0.017490912,1598583,826.0486,714.5684
ATVI,2021-10-05 09:45:00,76.81,77.18,78.19,77.3378,76.25,280978.0,-0.004794023499999999,0.0,-0.0018139335999999998,7788383,79.32514,89.12203000000001
AVGO,2021-10-05 09:45:00,476.29,475.95,484.9304,477.74,475.33,50416.0,0.0007143530499999999,0.0,-0.0019960335999999997,1626966,492.2297,474.53558
AXP,2021-10-05 09:45:00,173.33,172.66,173.88,173.78,173.01,67463.0,0.003880448,0.0,0.0065156952,3491550,164.88228,160.74428
