symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-14 09:45:00,150.46,149.55,150.63,151.07,150.23,5020804,0.006084946,0.0,0.005349402,91384380,149.05714,134.9263
ABBV,2021-09-14 09:45:00,107.48,106.68,107.39,108.77,106.806,7385907,0.007499092,0.00027911033,0.0038146259999999998,9773320,115.718575,112.83218000000001
ABT,2021-09-14 09:45:00,126.62,128.8,129.67,129.6992,124.81,5391112,-0.016925467,-0.0009477392300000001,0.00055283285,4073980,124.41572,119.20826000000001
ACN,2021-09-14 09:45:00,341.3,339.44,345.0,342.15,341.1484,58199,0.00547957,0.0,0.010576201,1604220,328.53256,295.87732
ADBE,2021-09-14 09:45:00,645.15,658.94,663.04,663.6,640.24,2229053,-0.020927517,0.00012393405,0.0024800054,1461120,641.8248,546.88007
ADI,2021-09-14 09:45:00,171.33,169.94,171.59,173.11,170.295,3187971,0.008179354,0.0,0.006119767,4804080,166.98677,160.86616999999998
ADP,2021-09-14 09:45:00,201.15,200.0,202.49,201.48,200.69,25142,0.0057499693,0.0,0.0058999633999999995,1527160,209.55229,197.31363000000002
ADSK,2021-09-14 09:45:00,281.28,284.43,284.51,286.29,278.46,1518076,-0.01107476,0.0024886667000000003,0.0025597312,1641740,317.05487,291.85956
AMAT,2021-09-14 09:45:00,139.44,136.84,138.72,141.3,137.56,8507585,0.019000337,0.0014342867000000001,-0.007888741999999999,7471020,135.40486,131.77333000000002
AMD,2021-09-14 09:45:00,105.213,104.8,105.26,106.0,105.13,1537890,0.003940786,0.0,0.006965608000000001,34807400,106.97057,88.32253
AMGN,2021-09-14 09:45:00,216.72,213.75,217.06,219.049,215.095,2553433,0.013894742,0.001291984,0.00544478,2693400,228.64657999999997,240.11275
AMZN,2021-09-14 09:45:00,3457.17,3469.15,3482.8,3497.96,3438.0,2569022,-0.0034532899,0.0009632382000000001,0.005874764,2694120,3389.5334,3331.5925
ARKK,2021-09-14 09:45:00,118.17,120.46,120.72,120.81,116.14,6579095,-0.019010467,0.000507787,0.005331344,4894440,120.901146,119.3129
ARKQ,2021-09-14 09:45:00,83.32,82.99,83.71,83.32,83.255,5707,0.003976405,0.0,0.00012052219,288960,81.89943000000001,82.34583
ASML,2021-09-14 09:45:00,871.24,858.87,869.22,871.99,861.0360000000001,635611,0.01440264,0.000573895,0.009159337,782220,804.6994,683.6857
ATVI,2021-09-14 09:45:00,78.53,79.64,80.12,80.76,78.16,7337436,-0.013937728,0.0029288597999999996,0.0031834969,10903560,82.25971,90.912025
