symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-11-22 09:45:00,163.095,160.55,161.68,163.31,161.63,13779131.0,0.015851747,0.0,0.00675797,74388970,147.3724,137.6976
ABBV,2021-11-22 09:45:00,116.24,117.07,117.63,117.8,115.86,5885750.0,-0.007089791,-0.00043010514000000005,0.0016345702,4181330,110.9818,111.9392
ABT,2021-11-22 09:45:00,125.93,126.84,128.41,126.8,125.93,165832.0,-0.007174361999999999,0.0,-7.8796176e-05,5171770,123.8708,120.69345
ACN,2021-11-22 09:45:00,371.99,369.79,371.95,372.19,370.86,96219.0,0.0059492723,0.0,-0.0006220043,1929960,346.4268,305.7548
ADBE,2021-11-22 09:45:00,688.37,670.96,681.26,699.5,678.91,3093812.0,0.025947854,0.0016270248000000002,0.014570695,1552720,629.46,563.03253
ADI,2021-11-22 09:45:00,189.57,188.8,188.09,190.485,189.4,378206.0,0.0040784124,0.0,0.0038135657,2247460,175.3372,164.3304
ADP,2021-11-22 09:45:00,237.91,237.95,239.08,239.26,236.93,1301749.0,-0.00016807433,0.0,0.0,1147390,213.7272,199.60965
ADSK,2021-11-22 09:45:00,321.9635,322.52,325.58,325.21,321.925,42194.0,-0.0017254374,0.0,0.007999557,1057900,300.6094,294.63965
AMAT,2021-11-22 09:45:00,150.56,150.03,151.0,151.4,149.22,669133.0,0.0035326184999999997,0.0,0.0077318116,7636280,139.1836,132.43335
AMD,2021-11-22 09:45:00,155.41,155.02,155.76,156.91,153.445,41668862.0,0.0025158003,-0.0013513076000000001,0.011968345,70513030,119.413,96.07305
AMGN,2021-11-22 09:45:00,204.305,206.08,205.45,205.78,204.3,95911.0,-0.008613205,0.0,-0.00087348575,3129900,210.7816,232.4848
AMZN,2021-11-22 09:45:00,3676.57,3696.06,3712.69,3762.145,3675.72,4946213.0,-0.00527318,-0.0011995301,0.0028341421999999996,3469650,3402.8933,3343.2463
ARKK,2021-11-22 09:45:00,113.24,113.82,114.29,115.3,113.01,5806108.0,-0.0050957813,0.0012363069,0.008300976,4756000,117.0226,120.65185
ARKQ,2021-11-22 09:45:00,86.26,86.51,86.11,86.8,86.11,335101.0,-0.0028898390000000004,-0.00069563166,0.0,361310,82.9634,83.35027
