symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-11-16 09:45:00,150.0,149.99,150.37,151.88,149.43,55958623.0,6.6634486e-05,6.6630004e-05,-0.00013336181000000002,56784366,146.6164,141.40346
ABBV,2021-11-16 09:45:00,116.97,116.63,117.4,117.4,116.43,2733644.0,0.0029152362,-0.004018135,0.0,4364357,111.23543000000001,113.72136
ABT,2021-11-16 09:45:00,129.36,128.45,128.77,130.195,128.28,3032210.0,0.0070844973,0.0,0.00226084,5821000,122.58285500000001,120.19093000000001
ACN,2021-11-16 09:45:00,371.11,368.45,371.77,371.68,367.065,65583.0,0.0072193597,0.0,-0.0012213700999999999,1648916,345.9522,318.52222
ADBE,2021-11-16 09:45:00,666.46,666.02,667.69,669.4496,663.0,750112.0,0.0006606445,0.0,0.00234227,2075233,617.36725,589.10657
ADI,2021-11-16 09:45:00,185.06,183.1,183.57,185.67,181.565,1243466.0,0.010704485,0.0,0.0032768479999999997,2825137,174.06721000000002,166.69823
ADP,2021-11-16 09:45:00,233.06,230.93,231.8,233.23,229.77,1029103.0,0.009223595,0.00081525114,0.005535091999999999,1081066,215.09056,205.32712
ADSK,2021-11-16 09:45:00,328.66,326.39,326.0,328.66,325.24,30599.0,0.006954836,0.0,-0.00425875,910583,301.54056,297.85922
AMAT,2021-11-16 09:45:00,156.27,156.82,156.9628,158.13,155.24,6248432.0,-0.0035072253,0.0027516002000000004,-0.0038715748,6407166,137.19528,135.4595
AMD,2021-11-16 09:45:00,146.49,147.89,148.0,148.98,142.86,52271271.0,-0.009466454000000001,-0.0047102356,-0.004030366,82529950,119.70833600000002,99.95029
AMGN,2021-11-16 09:45:00,207.56,209.63,210.69,210.842,207.1498,2051967.0,-0.009874576,0.0,-0.00302758,2786466,209.99915,229.77719
AMZN,2021-11-16 09:45:00,3576.23,3488.98,3515.25,3593.6,3501.425,4294922.0,0.02500731,-2.7989715e-06,0.0,3842366,3354.0366,3388.03
ARKK,2021-11-16 09:45:00,118.49,117.34,117.77,118.52,116.71,3737114.0,0.009800592,0.00227871,0.0,5434942,116.86057,117.62478999999999
ARKQ,2021-11-16 09:45:00,87.3,87.5,87.75,87.78,86.64,464013.0,-0.0022856792999999998,-0.0017182304999999998,-0.0022910032,378516,82.84889,81.83489
ASML,2021-11-16 09:45:00,856.72,851.63,855.0,861.6,853.035,638041.0,0.0059767338,0.004202116,-0.0076103727000000005,621250,789.6103,750.3395
ATVI,2021-11-16 09:45:00,67.17,66.82,66.99,67.53,66.53,6447897.0,0.00523793,0.0,0.00120321,17404233,75.995834,85.840866
AVGO,2021-11-16 09:45:00,557.78,558.95,559.19,561.9009,555.14,1069249.0,-0.0020931798,0.0,0.0065300353000000005,1650866,508.9061,482.22927999999996
AXP,2021-11-16 09:45:00,182.19,183.13,182.53,183.4,182.19,50256.0,-0.005132979,0.0,0.00223878,2691700,176.17722,167.35706000000002
BA,2021-11-16 09:45:00,233.09,220.96,227.37,233.94,226.92,21782627.0,0.054896798,0.0022309201,-0.0057059587,7499640,218.49571,227.09956
