symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-12-17 09:45:00,170.24,172.26,179.28,171.93,169.69,20060578.0,-0.011726396000000002,0.0,-0.0133113,126063630,155.778,141.23425
ABBV,2021-12-17 09:45:00,130.6697,127.29,128.25,130.69,127.6,6380206.0,0.02655112,0.0,0.0039673,6732900,114.9844,113.0505
ABT,2021-12-17 09:45:00,133.525,132.94,133.54,134.3,133.0,2932525.0,0.004400417,0.0,0.00338496,5261880,125.9424,121.1304
ACN,2021-12-17 09:45:00,400.6,375.3,413.07,413.65,399.02,6121478.0,0.067412786,0.0034697556,-0.0039940240000000005,2689370,359.48699999999997,315.87946
ADBE,2021-12-17 09:45:00,561.6,566.09,578.4,566.99,560.44,556159.0,-0.007931691999999999,0.0,0.0007242189999999999,4669660,641.6112,578.33984
ADI,2021-12-17 09:45:00,169.81,172.6,180.15,171.27,169.47,659681.0,-0.016164592,0.0,-0.012514498999999998,3758630,178.9324,166.55815
ADP,2021-12-17 09:45:00,229.72,235.02,233.85,234.695,227.68,1452887.0,-0.022551287000000003,0.0,0.0,1975040,223.796,204.31586000000001
ADSK,2021-12-17 09:45:00,270.775,269.61,273.4,270.945,268.65,226201.0,0.004321088,0.0,-0.00382033,1843110,294.69599999999997,292.44394
AMAT,2021-12-17 09:45:00,146.7,153.66,154.4,155.35,146.26,7155857.0,-0.04529485,0.00020449067,-0.0051806034,7008460,144.2678,135.5807
AMD,2021-12-17 09:45:00,138.64,146.5,147.0,147.92,137.02,63369550.0,-0.05365188,-0.006924456999999999,-0.013632425,55079730,134.8404,101.40095
AMGN,2021-12-17 09:45:00,221.96,219.25,220.0,231.0,220.0,3057494.0,0.01236035,0.0,0.00291904,3114010,208.1818,230.38445
