symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-07 09:45:00,154.58,154.3,153.76,155.05,154.48,3887198,0.0018146388,0.0,0.0046013705,77329540,148.05629,133.93848
ABBV,2021-09-07 09:45:00,110.52,111.62,111.18,111.57,110.4,500779,-0.009854919,0.0,-0.00976531,16061980,116.95772,112.78536000000001
ABT,2021-09-07 09:45:00,128.94,128.49,129.0,129.3988,128.16,2463390,0.00350219,-0.00364512,0.0,3825500,123.12143,119.09206999999999
ACN,2021-09-07 09:45:00,337.9,336.56,337.45,339.0,336.67,1621136,0.00398145,0.00355138,-0.0033441992,1518437,322.75555,291.31
ADBE,2021-09-07 09:45:00,666.59,664.64,664.43,673.88,664.295,1641621,0.0029339374,-0.0001350558,0.0022576754,1504640,635.602,540.0659
ADI,2021-09-07 09:45:00,162.44,162.62,162.52,163.45,161.7373,2385601,-0.00110683,-0.0011696777,0.0,5490360,166.34743,160.69812
ADP,2021-09-07 09:45:00,204.822,207.38,204.5,207.3,204.822,67805,-0.012334838,0.0,-0.0032790399,1362120,209.76113999999998,196.24826000000002
ADSK,2021-09-07 09:45:00,288.75,287.47,286.7,293.0,284.5,1819609,0.0044526340000000005,0.0,0.0,2954985,319.22513,292.32672
AMAT,2021-09-07 09:45:00,135.83,134.45,133.842,136.43,133.345,4258365,0.010264074,-0.00125155,0.008171984,5288440,135.20113999999998,131.09392
AMD,2021-09-07 09:45:00,109.7693,109.92,108.85,110.58,109.27,2964339,-0.0013709589000000001,0.0,-0.0008187439999999999,45349080,104.54172,87.58036
AMGN,2021-09-07 09:45:00,226.37,225.96,225.76,227.18,224.2,1664374,0.0018144291,0.00017673962,0.0,2353257,232.72285,240.48979
AMZN,2021-09-07 09:45:00,3483.2,3478.05,3452.0,3495.8,3476.94,126105,0.0014806867000000002,0.0,0.00012220895,3335580,3405.4585,3319.9734
ARKK,2021-09-07 09:45:00,126.02,125.07,124.52,126.09,125.2699,329964,0.007595721999999999,0.0,0.0018389970000000002,3744100,120.86171999999999,120.01608999999999
ARKQ,2021-09-07 09:45:00,85.57,85.49,85.4,85.85,85.115,276228,0.0009358033999999999,-0.0023372320000000003,-0.0011686160000000001,280620,81.39686,82.61865999999999
ASML,2021-09-07 09:45:00,863.92,858.105,848.52,865.44,862.05,61778,0.006776563,0.0,0.008547931,619400,783.66345,673.5436
