symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-29 09:45:00,142.775,141.91,143.25,143.36,142.03,7199424,0.0060953437,0.0,0.00422797,82426171,148.88257,136.86145
ABBV,2021-09-29 09:45:00,107.6,107.34,107.62,107.99,107.6,159113,0.0024222299,0.0,0.0048444596999999995,6131357,112.85086000000001,112.82826000000001
ABT,2021-09-29 09:45:00,118.82,118.74,119.6,119.179,118.82,98572,0.00067375635,0.0,0.0022739116,5182471,125.51115,119.73732
ACN,2021-09-29 09:45:00,324.98,324.21,331.56,326.51,324.62,73338,0.0023750642,0.0,0.00860556,2688100,334.17800000000005,302.33115
ADBE,2021-09-29 09:45:00,585.48,578.77,596.314,585.48,585.25,27206,0.011593483,0.0,0.011230713,3689700,645.05884,561.793
ADI,2021-09-29 09:45:00,176.91,178.53,177.27,178.128,175.6,3796295,-0.009074078000000001,0.0,-0.008139745,4694140,168.76088000000001,162.60533
ADP,2021-09-29 09:45:00,197.28,201.72,199.79,200.51,196.78,1245904,-0.02201072,0.007502005999999999,0.0013686349,1199814,206.11599999999999,199.00935
ADSK,2021-09-29 09:45:00,290.1709,287.85,288.64,291.17,289.77,31944,0.0080628535,0.0,0.010561086,1226557,306.11172,293.3324
AMAT,2021-09-29 09:45:00,132.42,132.89,137.61,134.02,132.11,599136,-0.0035367690000000004,0.0,0.0046654763,6914514,135.17229,133.76318
AMD,2021-09-29 09:45:00,101.81,101.52,106.835,102.32,101.69,2276866,0.0028565891999999997,0.0,0.0059102257,42918214,106.73885,90.25992600000001
AMGN,2021-09-29 09:45:00,212.29,212.27,212.3,212.76,212.29,5000,9.416786599999999e-05,0.0,0.0033919121999999996,2414185,221.41342000000003,239.16738999999998
AMZN,2021-09-29 09:45:00,3322.11,3315.96,3357.71,3326.0,3322.11,64268,0.0018547107,0.0,0.002632716,3202071,3375.8179999999998,3360.0498
ARKK,2021-09-29 09:45:00,113.03,112.14,115.29,113.14,112.9,128360,0.007936503000000001,0.0,0.007665453000000001,6900971,119.49286000000001,118.74797
ARKQ,2021-09-29 09:45:00,79.74,82.06,81.26,81.59,79.46,335167,-0.028271995,-0.0045146807,0.009154796,343328,82.08028399999999,82.15413000000001
ASML,2021-09-29 09:45:00,785.0,780.17,794.84,785.0,784.77,82586,0.006190981,0.0,0.0050246026,1057928,831.71313,709.0978
ATVI,2021-09-29 09:45:00,76.5,76.33,74.66,76.53,76.5,23879,0.0022271476000000003,0.0,0.0035372283,10164000,80.083145,89.53797
AVGO,2021-09-29 09:45:00,493.63,491.02,497.0,494.0,493.55,23314,0.005315498,0.0,0.009062793000000001,1808200,492.18744000000004,474.23834000000005
AXP,2021-09-29 09:45:00,173.14,176.77,175.49,177.24,172.685,3777810,-0.020535186,0.00496708,0.002310234,3952100,164.57057,159.9608
BA,2021-09-29 09:45:00,225.172,218.41,222.9,227.8,224.8716,1278596,0.03096009,0.0,0.042992536,9123142,219.266,234.3213
BABA,2021-09-29 09:45:00,150.46,152.39,152.16,150.46,150.42,410861,-0.012664825,0.0,-0.012894523,26107842,166.372,205.4655
BAC,2021-09-29 09:45:00,42.855,43.16,43.43,43.26,42.82,2014529,-0.007066735500000001,0.0,-0.0003475299,50203628,41.155144,40.35935
BEKE,2021-09-29 09:45:00,18.25,17.48,17.56,18.3,17.47,1274432,0.04405037,0.0,-0.000572095,11400357,18.471714000000002,40.001521999999994
BIDU,2021-09-29 09:45:00,154.7658,154.02,155.99,154.86,154.7658,81563,0.004842154,0.0,-0.00019477196,3871528,156.41171,188.14153000000002
BIIB,2021-09-29 09:45:00,286.38,284.71,290.82,286.38,285.76,11051,0.005865665,0.0,0.004706531,901857,322.13687000000004,311.5515
BILI,2021-09-29 09:45:00,66.0895,66.54,70.29,66.97,65.66,305491,-0.006770371,0.0,0.0016470732,3842557,76.15686,98.13203
BKNG,2021-09-29 09:45:00,2440.0,2432.75,2460.0,2440.0,2435.66,3719,0.0029801663,0.0,0.0033912240000000004,326842,2282.5054,2290.1248
BRK-B,2021-09-29 09:45:00,276.48,276.79,279.14,277.08,275.95,223686,-0.0011199738,0.0,0.000758667,4780914,282.45914,277.67545
