symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-30 09:45:00,142.83,141.91,142.47,144.45,142.03,74602044,0.006482969,0.0037106965,0.00567106,81449975,148.80342,136.90438999999998
ABBV,2021-09-30 09:45:00,109.38,108.84,107.85,109.38,109.16,455789,0.00496142,0.0,0.0035833059999999996,6148850,112.68,112.79956999999999
ABT,2021-09-30 09:45:00,120.13,119.46,118.92,120.15,119.895,66180,0.005608556999999999,0.0,0.0049389247,5098637,125.41856999999999,119.73532
ACN,2021-09-30 09:45:00,323.53,324.21,326.3,326.51,323.11,1741309,-0.00209738,6.17841e-05,0.0,2688100,334.5897,302.33115
ADBE,2021-09-30 09:45:00,577.7,578.77,585.45,586.52,576.07,2726816,-0.0018487606,0.0045005633000000005,0.0072615673,3569275,643.8006,561.9075
ADI,2021-09-30 09:45:00,168.84,171.29,170.54,171.805,168.12,3498449,-0.014303211000000001,0.0,0.0,4780271,168.93411,162.8666
ADP,2021-09-30 09:45:00,199.58,197.28,198.01,200.7,197.88,1001598,0.011658571999999999,0.0,0.0,1199814,205.80411999999998,199.00935
ADSK,2021-09-30 09:45:00,287.99,287.85,290.42,292.88,286.9,1162847,0.00048630930000000003,0.00347234,0.0,1226557,305.37146,293.3324
AMAT,2021-09-30 09:45:00,128.27,132.89,132.8,134.02,128.045,10730145,-0.03476556,0.0017930593,0.0069384845,7392225,134.89258,133.72366
AMD,2021-09-30 09:45:00,100.35,101.52,102.295,102.66,99.81,52224721,-0.011524805,0.004484351,0.016442467,44085425,106.56371000000001,90.33252
AMGN,2021-09-30 09:45:00,215.7907,214.9,212.5,216.0,215.7907,2121,0.0041447245,0.0,0.0051186886,2350100,221.04027999999997,238.99281000000002
AMZN,2021-09-30 09:45:00,3316.0,3301.12,3322.11,3316.0,3316.0,45480,0.0045075254,0.0,0.0043409006,3122262,3375.259,3359.6257
ARKK,2021-09-30 09:45:00,109.72,112.14,112.92,113.3352,109.6,8954867,-0.0215802,0.006015275600000001,0.005741863000000001,7157737,119.15799999999999,118.68302
ARKQ,2021-09-30 09:45:00,78.61,79.74,79.94,80.29,78.54,358100,-0.014171022,0.0012720834,0.0,343385,82.08559,82.15413000000001
ASML,2021-09-30 09:45:00,750.42,780.17,785.0,785.66,749.115,2215973,-0.038132716000000004,0.006103271600000001,0.001572443,1202775,830.6026,709.395
ATVI,2021-09-30 09:45:00,77.71,77.38,76.53,77.71,77.53,11451,0.0042646920000000005,0.0,0.0049108929999999995,10106200,79.92286,89.4505
AVGO,2021-09-30 09:45:00,494.52,489.48,493.63,494.52,494.52,4463,0.010296596,0.0,0.0106030945,1779537,492.3937,474.348
AXP,2021-09-30 09:45:00,171.54,173.14,172.89,172.98,170.4,2281767,-0.009241112,0.0006412534,0.0,3952100,164.42588999999998,159.9608
BA,2021-09-30 09:45:00,225.36,218.41,227.8,229.93,224.8716,16808041,0.0318209,0.0072328937,0.0048811063,10081312,218.96829,234.25683999999998
BABA,2021-09-30 09:45:00,147.44,147.58,150.46,147.5,146.96,331958,-0.0009486338,0.0,-0.0028459015000000002,25017050,164.99629,205.04907
BAC,2021-09-30 09:45:00,43.29,43.07,43.18,43.35,43.28,556027,0.0051079923,0.0,0.006036734,49461025,41.202,40.37885
BEKE,2021-09-30 09:45:00,18.54,17.66,17.48,18.64,18.05,1010153,0.049830187000000005,0.0,0.024348801,11550175,18.377428,39.840790000000005
BIDU,2021-09-30 09:45:00,152.025,151.92,154.766,152.025,151.95,26990,0.0006911250999999999,0.0,0.00105321,3658237,156.0223,187.88093999999998
BIIB,2021-09-30 09:45:00,285.56,284.71,285.76,289.335,284.635,697548,0.0029855156,0.00021010492000000003,0.0050427318,876712,320.66086,311.36453
BILI,2021-09-30 09:45:00,64.38,66.54,66.63,68.0,64.24,6158436,-0.032461733,0.0034172293,0.0,3843871,76.03824,98.13203
