symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-10-06 09:45:00,139.855,139.14,141.76,140.4,139.41,4310920.0,0.005138683,0.0,0.0025873266,89913183,148.216,137.3779
ABBV,2021-10-06 09:45:00,109.765,108.73,108.84,109.8,109.11,248103.0,0.009518955,0.0,0.0056101624,7326766,112.10429,112.86174
ABT,2021-10-06 09:45:00,116.2,115.53,116.61,116.4675,116.06,75328.0,0.0057993440000000005,0.0,0.0066649723,5951766,124.94829,119.72485
ACN,2021-10-06 09:45:00,319.49,324.86,323.4,324.32,316.01,1727272.0,-0.016530184,0.0078563,0.0,2050300,334.68707,303.86182
ADBE,2021-10-06 09:45:00,562.25,558.49,574.5901,566.36,562.25,138994.0,0.006732457,0.0,0.010689595,3603850,638.486,565.4239
ADI,2021-10-06 09:45:00,165.05,164.26,166.74,165.85,164.61,414380.0,0.0048095006,0.0,0.004626869699999999,4539483,168.64543,163.30327
ADP,2021-10-06 09:45:00,199.97,202.0,200.39,202.67,199.21,1367750.0,-0.010049498,0.0,-4.998003e-05,1362850,204.35686,199.3729
ADSK,2021-10-06 09:45:00,272.93,284.06,282.87,283.99,271.09,1747790.0,-0.03918188,0.007584389300000002,-0.00478767,1518100,301.3641,293.81592
AMAT,2021-10-06 09:45:00,125.2,129.13,127.66,127.82,123.17,9542094.0,-0.030434506,0.00167737,0.017092647,8697700,134.58171000000002,134.08037
AMD,2021-10-06 09:45:00,100.82,100.34,101.742,101.44,100.6617,1584189.0,0.004783769,0.0,0.0059757,53274983,106.019714,90.83993
AMGN,2021-10-06 09:45:00,212.065,211.44,214.1,212.5208,211.21,198686.0,0.0029559212,0.0,-0.0049659624,2456733,219.67029,238.35536
AMZN,2021-10-06 09:45:00,3211.25,3189.78,3279.39,3214.71,3202.4640000000004,173006.0,0.0067308624,0.0,0.0040739090000000006,3470516,3371.502,3365.2812
ARKK,2021-10-06 09:45:00,107.935,107.19,110.72,108.31,107.57,191188.0,0.0069502294,0.0,0.0054108985,8455516,118.176285,118.28551000000002
ARKQ,2021-10-06 09:45:00,76.41,78.06,77.91,77.935,75.89,336033.0,-0.02113751,0.006020141999999999,0.003010021,291866,81.60257,81.90906
ASML,2021-10-06 09:45:00,724.16,712.94,728.9,727.35,723.76,89582.0,0.015737608,0.0,0.017490912,1598583,826.0486,714.5684
ATVI,2021-10-06 09:45:00,76.81,77.18,78.19,77.3378,76.25,280978.0,-0.004794023499999999,0.0,-0.0018139336,7788383,79.32514,89.12203000000002
AVGO,2021-10-06 09:45:00,476.29,475.95,484.9304,477.74,475.33,50416.0,0.0007143530499999999,0.0,-0.0019960336,1626966,492.2297,474.53558
AXP,2021-10-06 09:45:00,173.33,172.66,173.88,173.78,173.01,67463.0,0.003880448,0.0,0.0065156952,3491550,164.88228,160.74428
BA,2021-10-06 09:45:00,223.26,223.79,225.68,224.545,222.42,311568.0,-0.0023682863,0.0,0.0020555286,10433500,217.75685,233.26768
BABA,2021-10-06 09:45:00,141.09,139.63,141.7,141.2166,139.19,1153245.0,0.010456144,0.0,-0.0026499345,21270866,160.90313999999995,202.94725
BAC,2021-10-06 09:45:00,43.8957,43.34,43.11,43.96,43.67,2496046.0,0.012821836,0.0,0.009921557,48571683,41.291714,40.501812
BEKE,2021-10-06 09:45:00,17.85,18.62,18.01,18.23,17.49,3829412.0,-0.04135341,-0.0016807107999999998,-0.011204524,8951700,18.302856,38.695724
BIDU,2021-10-06 09:45:00,147.36,146.39,149.02,147.36,145.9753,147619.0,0.0066261440000000005,0.0,-0.004027595,3067116,155.29915,184.73102
BIIB,2021-10-06 09:45:00,282.99,285.56,286.23,287.8,282.64,723590.0,-0.008999886,0.0,-0.0016809498999999998,876712,320.66086,311.36453
BILI,2021-10-06 09:45:00,61.99,64.88,64.0,64.0,60.47,4843204.0,-0.044543706,-0.008549808,-0.0127928,4271683,74.89175999999998,97.11116
BKNG,2021-10-06 09:45:00,2456.9,2459.52,2459.0,2464.34,2450.03,12733.0,-0.0010652961,0.0,-0.00260209,300083,2307.357,2290.2861
BRK-B,2021-10-06 09:45:00,274.75,273.64,273.86,274.925,273.21,592690.0,0.004056371,0.0,0.000950078,4119250,280.78,278.32043
C,2021-10-06 09:45:00,72.0601,71.29,71.76,72.095,71.325,2991485.0,0.010802298,0.0,0.0071539097,19854283,70.77086,71.92341
CAT,2021-10-06 09:45:00,191.93,193.13,192.76,192.87,190.73,350461.0,-0.006213494599999999,0.0,-0.0019676099,3462083,204.27657,219.6079
CHTR,2021-10-06 09:45:00,744.43,740.96,739.98,745.26,739.98,34492.0,0.004683074000000001,0.0,-0.00090429204,757783,776.2563,711.3597
CL=F,2021-10-06 09:45:00,78.93,77.62,77.58,79.1,77.47,185963.0,0.01687706,0.0,0.0,446557,70.19143000000001,67.90986
CMCSA,2021-10-06 09:45:00,55.93,54.75,54.95,56.1861,54.71,16926763.0,0.021552514,0.0016091571,0.0,15534300,58.648235,57.035072
CNH=F,2021-10-06 09:45:00,6.4815,6.4528,6.4454,6.4583,6.4454,137.0,0.002909041,0.0,0.0,87,6.4727354,6.4827166
COST,2021-10-06 09:45:00,444.55,440.14,439.58,444.64,439.25,206631.0,0.010019477,0.0,-0.00023858501,2173466,455.582,405.39478
CRM,2021-10-06 09:45:00,273.13,270.86,272.11,273.53,271.14,450081.0,0.008380786,0.0,0.00383965,5633566,263.19144,240.71109
CSCO,2021-10-06 09:45:00,54.64,54.23,54.13,54.67,54.15,1834015.0,0.0075603887,0.0,-0.0016596,16612116,57.353428,54.147755
CSX,2021-10-06 09:45:00,30.9,30.51,30.43,30.95,30.43,1326527.0,0.012782674,0.0,-0.00557195,12947733,31.709143,32.410145
CVX,2021-10-06 09:45:00,107.5957,104.72,106.04,107.77,105.54,3391352.0,0.027460866,0.0,0.0123186,12999833,98.344284,102.797104
DHR,2021-10-06 09:45:00,300.81,298.57,301.75,302.33,299.46,170224.0,0.0075023947,0.0,0.008306189,2564950,320.784,275.47327
DIS,2021-10-06 09:45:00,176.18,173.46,173.83,176.22,173.655,1091315.0,0.015680768,0.0,0.004439,9408600,178.70543,179.51102
DOCU,2021-10-06 09:45:00,255.1,246.57,248.0,256.53,247.58,596855.0,0.034594633,0.0,0.00506955,2201233,280.42056,252.53203
DOW,2021-10-06 09:45:00,58.89,58.24,58.26,58.96,58.1,788142.0,0.0111606745,0.0,0.00137359,6856966,60.48485600000001,63.507973
DX-Y.NYB,2021-10-06 09:45:00,93.974,93.776,93.832,94.044,93.807,0.0,0.0021113935,0.0,0.0,0,93.01639,91.95645
EURUSD=X,2021-10-06 09:45:00,1.1591516000000002,1.1625204,1.1625204,1.1627907,1.1586143,0.0,-0.0028978763,0.0,0.0,0,1.1754626,1.1906656
FAS,2021-10-06 09:45:00,124.9933,117.82,120.12,125.49,118.64,1673830.0,0.06088357,0.0,0.020709599999999998,1922566,119.68457,111.20051000000001
FAZ,2021-10-06 09:45:00,22.26,22.89,22.48,22.7289,22.26,189320.0,-0.027522900000000003,0.0,-0.0214067,1899333,23.106,26.796377000000003
FB,2021-10-06 09:45:00,330.54,326.23,328.58,331.75,326.1638,8465703.0,0.01321153,0.0,0.00628387,20932266,362.90857,337.11804
FISV,2021-10-06 09:45:00,108.59,108.26,108.19,108.69,107.63,154143.0,0.0030481636,0.0,-0.0011084699,3238333,112.742,114.4108
GC=F,2021-10-06 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
GE,2021-10-06 09:45:00,105.52,104.9,105.06,105.52,103.76,1296351.0,0.0059103440000000005,0.0,0.00104862,8787750,102.92972,105.04406000000002
GILD,2021-10-06 09:45:00,67.75,67.56,67.45,67.82,67.24,645073.0,0.0028123513,0.0,-0.00503251,6723816,71.31143,68.28594
GOOG,2021-10-06 09:45:00,2706.53,2675.3,2680.0,2706.53,2680.0,166729.0,0.01167345,0.0,0.0021343299,1521300,2823.9644,2539.7646
GOOGL,2021-10-06 09:45:00,2707.11,2673.19,2680.82,2707.11,2682.88,201501.0,0.012689021000000002,0.0,0.00366979,1858466,2809.4812,2500.6184
GS,2021-10-06 09:45:00,381.505,374.15,378.1,381.505,375.5,312770.0,0.019657921,0.0,0.00494456,2549066,399.38058,371.5784
HD,2021-10-06 09:45:00,329.32,326.47,326.9,329.495,326.3269,281352.0,0.008729764000000001,0.0,-0.00217475,3113716,330.16028,321.6108700000001
HON,2021-10-06 09:45:00,215.88,214.21,213.61,215.9,213.61,219751.0,0.007796079,0.0,-0.0055553103000000005,2467583,223.62572000000003,224.39384
IBM,2021-10-06 09:45:00,142.73,143.15,144.75,142.93,142.04,169652.0,-0.0029339727,0.0,-0.006217250600000001,5449571,138.58,140.98232
IDXX,2021-10-06 09:45:00,614.58,614.8,617.66,615.0,610.66,19089.0,-0.00035779230000000005,0.0,-0.0017891601000000002,450885,664.6983,605.0254
ILMN,2021-10-06 09:45:00,394.84,405.61,403.42,403.95,391.33,1090086.0,-0.026552573,0.00205146,0.0,952400,456.52472,440.1523
INTC,2021-10-06 09:45:00,53.51,53.95,53.55,53.55,53.33,673033.0,-0.0081557445,0.0,-0.008526396,20713500,53.674285999999995,56.803332999999995
INTU,2021-10-06 09:45:00,533.35,525.35,529.06,536.93,526.4,907503.0,0.015227943999999998,0.0,0.0031598601,1393033,556.866,480.3158
ISRG,2021-10-06 09:45:00,331.06,330.07,325.93,333.49,327.66,207970.0,0.0029993341,0.0,0.000636203,1792785,345.26867999999996,316.34064
JD,2021-10-06 09:45:00,70.16,71.62,70.46,70.32,69.54,351601.0,-0.020385353000000002,0.0,-0.026528923,9429357,74.80443000000001,74.83989
JNJ,2021-10-06 09:45:00,159.585,159.58,159.86,159.79,159.29,250632.0,3.1362844e-05,0.0,0.005263794699999999,6828300,169.03258,167.63013999999998
JPM,2021-10-06 09:45:00,168.0883,168.66,167.21,169.0685,167.3488,700833.0,-0.0033896659000000003,0.0,-0.0045654196000000005,12177271,159.95343,156.87653
KO,2021-10-06 09:45:00,52.69,53.08,53.02,52.82,52.51,1555124.0,-0.0073474604,0.0,-0.00828942,16627357,55.188572,54.876231999999995
LLY,2021-10-06 09:45:00,230.11,230.93,226.44,230.62,229.86,50975.0,-0.0035508253999999998,0.0,-0.0018620044,3418385,245.68515,221.83268999999999
LRCX,2021-10-06 09:45:00,549.6,555.9,556.68,550.405,548.05,36727.0,-0.011333061,0.0,-0.009839956,1412914,591.57117,615.24536
MA,2021-10-06 09:45:00,342.44,343.21,347.56,342.85,339.13,238502.0,-0.0022434925,0.0,-0.00913429,4639871,350.53458,366.79977
MCD,2021-10-06 09:45:00,244.82,245.22,243.97,245.6399,244.15,237552.0,-0.0016311634,0.0,-0.0066878702,2443171,240.58171000000002,235.27
MDLZ,2021-10-06 09:45:00,58.71,58.83,58.0,59.0,58.35,604542.0,-0.0020398223000000003,0.0,0.0,7520000,60.936572999999996,61.657173
MDT,2021-10-06 09:45:00,125.8,125.05,125.7,127.58,125.0,3836813.0,0.0059976000000000005,-0.00437204,-0.00071974396,4423516,130.70058,126.82493000000001
MELI,2021-10-06 09:45:00,1567.0,1585.44,1596.0,1567.0,1556.45,9350.0,-0.011630804,0.0,-0.014153763,426114,1821.1012,1591.5864
MMM,2021-10-06 09:45:00,176.64,177.88,176.18,177.38,176.4,129252.0,-0.0069710226,0.0,-0.0082921395,2367228,186.94885,195.98595
MRK,2021-10-06 09:45:00,81.0,81.6,82.78,81.68,80.8809,2291834.0,-0.0073529226,0.0,-0.00134805,33969528,75.688286,75.269325
MRNA,2021-10-06 09:45:00,320.77,332.11,331.0,323.08799999999997,315.4001,934913.0,-0.034145302999999995,0.0,-0.04067923,17089314,404.398,267.49554
MSFT,2021-10-06 09:45:00,287.06,288.76,284.046,287.31,285.5093,1283888.0,-0.0058872844,0.0,-0.009939033,30262142,296.96657999999996,270.8405
MU,2021-10-06 09:45:00,70.24,70.5,71.21,70.3327,69.53,991825.0,-0.0036879736,0.0,-0.007943231,21804585,72.77914399999999,79.91804499999999
NFLX,2021-10-06 09:45:00,635.19,634.81,606.94,636.6699,626.42,918017.0,0.000598612,0.0,-0.00945165,5482971,579.6603,531.98236
NIO,2021-10-06 09:45:00,33.59,33.87,33.3,33.6267,33.17,1784380.0,-0.008266866999999999,0.0,-0.012400299999999998,33576028,37.311714,40.307247
NKE,2021-10-06 09:45:00,148.88,149.46,148.0,148.92,147.92,307735.0,-0.0038806489000000003,0.0,-0.0093001425,9577657,159.59428,148.0189
NTES,2021-10-06 09:45:00,83.18,82.14,83.18,83.97,82.21,2979913.0,0.012661321000000001,-0.00084154477,-0.01779278,4690057,86.584854,101.92296999999999
NVDA,2021-10-06 09:45:00,204.792,204.51,199.5,204.88,200.8,2913871.0,0.0013789689,0.0,-0.016673900000000002,27042857,216.12742999999998,181.38173999999998
NXPI,2021-10-06 09:45:00,191.63,188.95,190.69,193.59,188.68,2199162.0,0.014183689,0.0,0.013919098999999999,2253633,210.31914,203.34624
PDD,2021-10-06 09:45:00,87.42,85.08,85.5,88.65,85.5,5037004.0,0.027503483,-0.000114327464,0.0052890996,7289233,95.06118000000001,114.18372
PEP,2021-10-06 09:45:00,150.33,151.09,151.358,150.84,150.32,117741.0,-0.0050300783,0.0,-0.003309286,4921328,154.90171999999998,149.74478
PFE,2021-10-06 09:45:00,42.0895,42.32,42.53,42.2,41.91,770844.0,-0.0054465802,0.0,-0.006379973000000001,24902142,45.654858000000004,41.309277
PG,2021-10-06 09:45:00,139.14,139.33,138.8,139.2,138.75,164826.0,-0.0013636865,0.0,-0.004521674,6209400,143.15343000000001,138.30696
PYPL,2021-10-06 09:45:00,260.15,255.01,255.22,262.77,253.59,6312847.0,0.02015607,-0.0017297,-0.011070555,6180642,276.16742,271.673
QCOM,2021-10-06 09:45:00,127.76,127.53,126.13,127.85,126.31,403919.0,0.0018035235999999998,0.0,-0.006273,7394385,138.65742,137.8737
QQQ,2021-10-06 09:45:00,354.9,357.38,353.71,355.09,353.84,4367367.0,-0.0069394233,0.0,-0.009177903000000001,62925985,371.41,350.34862999999996
REGN,2021-10-06 09:45:00,549.7,550.9,555.91,550.52,546.5,20272.0,-0.0021782760000000003,0.0,-0.00889458,938357,643.8243,558.73535
SBUX,2021-10-06 09:45:00,110.36,110.85,111.125,110.5,110.11,98241.0,-0.0044203685,0.0,-0.00730715,5183885,114.93513999999999,114.60435
SMH,2021-10-06 09:45:00,254.56,249.81,251.81,255.12,250.64,1950596.0,0.019014452,0.0,0.00808616,4028133,266.452,253.99391
SPXL,2021-10-06 09:45:00,105.6186,110.69,109.7,110.42,104.6313,7187773.0,-0.045816272000000005,0.0,-0.00921496,9594183,118.45941,105.61514
SPXS,2021-10-06 09:45:00,22.846,22.51,22.99,23.15,22.799,1237955.0,0.014926719,0.0,0.026637001,13057228,21.310858,24.575363
SPY,2021-10-06 09:45:00,430.5,433.1,430.24,430.655,428.94,5978436.0,-0.006003247,0.0,-0.008750886,108936471,443.47112999999996,427.286
T,2021-10-06 09:45:00,27.2866,27.35,27.3,27.33,27.22,1237930.0,-0.0023181085,0.0,-0.0029250428000000004,35470571,27.376858000000002,28.993914
TCOM,2021-10-06 09:45:00,31.43,30.33,30.19,31.469,30.145,3259418.0,0.036267735,-0.0127267,-0.017817354,3979657,29.302856,33.670142999999996
TECL,2021-10-06 09:45:00,54.99,59.12,58.19,58.3,53.68,2549123.0,-0.069857895,0.0038188593,-0.019113599999999998,1461666,64.79677,54.39355
TECS,2021-10-06 09:45:00,4.77,4.67,4.58,4.77,4.53,3934360.0,0.021413255,-0.008385736500000001,-0.0149893,3956137,4.2522855,5.524101
TMO,2021-10-06 09:45:00,569.0,572.72,571.55,574.41,562.81,1323664.0,-0.00649527,0.0,-0.00328248,1493391,569.2476,506.78262
TMUS,2021-10-06 09:45:00,128.1,126.31,126.55,128.75,126.0,4398495.0,0.014171551999999999,0.0053863167,0.0,5867457,134.99648,137.44572
TRV,2021-10-06 09:45:00,151.38,152.42,151.31,153.62,150.255,1310058.0,-0.00682321,-0.0019817878,0.00373971,1031060,157.54883,154.68948
TSLA,2021-10-06 09:45:00,781.679,780.59,784.796,783.11,775.23,1006427.0,0.0013950847,0.0,-0.0053549926000000005,22608128,739.5563,678.9359
