,Date,Open,High,Low,Close,Volume,SMA12,SMA20,RSI,OBV
0,03/16/2020,3.93,4.57,3.9,4.37,4866696,0.0,0.0,0.0,0.0
1,03/17/2020,4.4,4.65,4.11,4.23,3562210,0.0,0.0,0.0,-3562210.0
2,03/18/2020,4.1,4.25,3.5,3.77,3651709,0.0,0.0,0.0,-7213919.0
3,03/19/2020,3.71,4.2,3.55,4.19,5039539,0.0,0.0,43.3948339483395,-2174380.0
4,03/20/2020,4.08,4.08,3.65,3.76,7722194,0.0,0.0,29.351457205391085,-9896574.0
5,03/23/2020,3.58,3.86,3.5,3.81,6009784,0.0,0.0,32.102963843998666,-3886790.0
6,03/24/2020,3.95,4.21,3.89,4.16,6805659,0.0,0.0,47.51294987818582,2918869.0
7,03/25/2020,4.15,4.49,4.04,4.17,3592059,0.0,0.0,47.87694696949817,6510928.0
8,03/26/2020,4.24,4.71,4.24,4.41,6210979,0.0,0.0,55.79955724330571,12721907.0
9,03/27/2020,4.94,5.09,4.15,4.22,7024763,0.0,0.0,49.39814064273917,5697144.0
10,03/30/2020,4.22,4.27,3.65,3.65,3350571,0.0,0.0,36.04022333837701,2346573.0
11,03/31/2020,3.63,3.8,3.5,3.5,2304132,4.0200000000000005,0.0,33.4748648258594,42441.0
12,04/01/2020,3.45,3.49,3.12,3.25,4568695,3.926666666666667,0.0,29.682620842999555,-4526254.0
13,04/02/2020,3.26,3.35,2.85,2.85,4064339,3.8116666666666674,0.0,24.834835393912385,-8590593.0
14,04/03/2020,2.85,2.94,2.57,2.8,3830761,3.7308333333333334,0.0,24.300575707085457,-12421354.0
15,04/06/2020,2.86,3.2,2.83,3.09,3331070,3.6391666666666667,0.0,33.26745792616856,-9090284.0
16,04/07/2020,3.39,3.44,3.1,3.27,2836859,3.598333333333334,0.0,38.163581881483985,-6253425.0
17,04/08/2020,3.23,3.67,3.2,3.41,2884528,3.565,0.0,41.743703819955776,-3368897.0
